NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Der Pflegedienst Lilienthal GmbH,"Konzeptionelle Beratung zur Durchführung von teambasierten
Wissensbilanzen als gezielte Personalentwicklungsmaßnahme",,2013,,7600
Der Weinkeller / Joachim Tomischat,Beratung zur Erstellung einer professionellen Internetpräsenz,,2013,,3400
Derstappen Straßen & Tiefbau,Beratung im Bereich Kommunikationsdesign,,2010,,2400
DestoClean Herrn Uwe Vagts,Erarbeitung von Marketingkonzepten und deren Umsetzung,,2008,,3600
Detjen Bau- und Möbeltischlerei GmbH,"Beratung zur Neukundenbindung und Neukundengewinnung durch
gezieltes Web-Marketing",,2014,,5600
Detlef Keßler Fuhrbetrieb,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,2200
Detlev Steinle - REWALUX,Betriebsverlagerung mit Erweiterung,,2009,,43300
"Deutsches Zentrum für Luft- und Raumfahrt e. V. Institut für
Faserverbundleichtbau und Adaptronik",MoDifaR,2014,,950000,
Die Nestbauer Andreas Sippel,Anpassung von Kompetenzen der Beschäftigten,,2012,,10000
Die Tischlerei Kresken GmbH,Neuausrichtung des Corporate Designs,,2012,,6800
Die Tischlerin Dagmar Meyer,mit Verlagerung der Betriebsstätte,,2011,,"23877,99"
die Zahnärzte Dr. Saskia von Alven Dr. Matthias Kage,Verbesserung des Markenaufbaus,,2012,,5000
Digitalys GmbH,Einstellung eines Innovationsassistenten,,2012,,"9322,08"
Digitalys GmbH,"Entwicklung eines Rettungsmittel- und Patientenleitsystems für
Rettungswesen, -leitstellen und Kliniken (Notaufnahme)",2013,,"60258,75",
Dipl.-Ing. Peter Heitmann Ingenierbüro für Brandschutz GmbH,Begleitende Beratung zur Gewinnung neuer Kunden via Internet,,2013,,3400
Dittmer Gastro-Service GmbH,Modernisierung der Corporate Identity,,2010,,4000
Dohrmann-Tiefbau GmbH,Entwicklung eines Online-Marketingkonzeptes,,2012,,960
Donner's Hotel GmbH,"Hotelgewerbe, Geschäftsreisende, Urlauber, Tagungen",,2012,,364600
Dr. Friedrich Terjung,Erstellung eines Marketingkonzeptes,,2009,,3250
"Dr. Karin Arjes, Tierärztin","Bekanntmachung der neuen Behandlungsmethoden und
Rückgewinnung d es verlorengegangenen Klientels",,2009,,1000
Dr. Sebastian Graefe,"Konzeptionelle Beratung zur Erstellung eines Anforderungs- bzw.
Suchprofils für potenzielle Beteiligungspartner",,2014,,4925
Dres. Haubert & Müller Zahnärztliche Gemeinschaftspraxis,Beratung zur Steigerung der Wettbewerbsfähigkeit über das Internet,,2013,,4400
Dreyer & Bosse Kraftwerke GmbH,"Aufbau eines Vertriebs- und Servicenetzes Grunderwerb + baul.
Investitionen + Anschaffung v. Maschinen",,2012,,758800
Dreyer & Bosse Kraftwerke GmbH,Pumpenschutzvorrichtung mittels Ultraschalltechnik,,2013,,"61545,7"
Dreyer-Bienenhonig GmbH,Erweiterung einer Betriebsstätte,,2013,,"629183,1"
Drölle Transporte Inh. Cay Drölle,Beratung zur Regelung der Nachfolge durch Generationswechsel,,2013,,10000
DSV St. Jürgensfeld,Sanierung des Schlossbrückensiels,,2009,,"957763,14"
DualLift GmbH,"Seilfangvorrichtung aus Aluminium Strangguss mit verkürzter
Auslösezeit und vermindertem Stoßfaktor",,2015,,"35380,14"
Duhner Strandräuber,Entwicklung einer Onlinepräsenz,,2012,,5000
Düwer Holzbau -De Timmermann-,Beratung zur Erstellung einer prof. Internetpräsenz,,2013,,5000
DVG Decken-Vertriebs-Gesellschaft Tramm mbH,Intensivierung des Corporate Designs,,2009,,2500
EBS Systemtechnik GmbH,Steigerung des Bekanntheitsgrades in der Region,,2010,,1060
EDELMANN & PAULIG GmbH,Relaunch und Erweiterung des Produktdesigns,,2013,,"2036,25"
EDELMANN & PAULIG Retail GmbH,Entwicklung eines Online-Marketingplanes,,2013,,10000
Edition Eres,"Beratung und Konzeption zur Erstellung eines professionellen Oline-
Shops",,2011,,8000
EES Nord GmbH,Erwerb eines Gebäudes,,2014,,"192757,23"
Eggers Landmaschinen Inh. Erhard Eggers e.K.,Hallenerweiterung,,2011,,140000
Eggert GmbH Bürofachhandel,Beratung zur Positionierung und Relaunch der Website,,2014,,9000
Ehlers Seilerwarenfabrik GmbH,"Herstellung von Seilerwaren, Handel von Bastelartikeln",,2011,,486000
Eichenhof Heimtierbestattungszentrum GmbH,Erwerb eines Grundstückes mit Gebäude,2010,,"398977,15",
Eichenhof Helmste,Erstellung eines Web-Marketing-Konzeptes,,2012,,4400
Eickhoff & Otten Rechtsanwälte,Entwicklung eines Corporate Designs,,2011,,2700
"Eigenbetrieb Abwasserbeseitigung Ebstorf der Samtgemeinde
Bevensen - Ebstorf","Überleitung des Abwassers aus der Ortschaft Wulfsode in das
Klärwerk Ebstorf",2014,,"773361,97",
Eigenbrodt GmbH & Co.KG,Entwicklung eines automatischen Nebelsammlers,2013,,"24034,68",
Eisen Trabandt GmbH,Erarbeitung des Jubiläumslogo,,2012,,10000
Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,"Ertüchtigung der Strecke Bremerhaven-Wulsdorf - Bremervörde von
Bahn-km 17,450 bis Bahn-km 33,480",,2011,,"7007566,28"
Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,"Ertüchtigung der Strecke Rotenburg (Wümme) - Bremervörde, 1. Aus
baustufe und 2. Ausbaustufe - Teilmaßnahme 1",,2012,,"21932195,91"
Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,"Ertüchtigung der Strecke Rotenburg (Wümme) - Bremervörde, 2. Aus
baustufe - Teilmaßnahme 2.1, Ostebrücke",2014,,"2787380,4",
Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,"Ertüchtigung der Strecke Rotenburg (Wümme) - Bremervörde, 2. Aus
baustufe - Teilmaßnahme 2.2",2014,,1768167,
Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,"Oberbauertüchtigung und Spurplanoptimierung Bahnhof
Bremervörde",2014,,"3760698,7",
Eisenbahnschule Bernd Fiske,Beratung zur Erschließung neuer Medien,,2013,,8800
EKÜ-SPORT Gunnar Kühn e.K.,Entwicklung eines Onlineshops,,2013,,"8645,62"
Elbclearing GmbH & Co. KG,"Beratung zur Neukundengewinnung und Kundenbindung durch Web-
Marketing",,2014,,6000
Elbe-Flossfahrten,"Entwicklung und Anschaffung zweier Naturbeobachtungsflöße mit
Hybrid- und Solarantrieb",,2010,,218000
ELBTALAUE Naturkostprodukte GmbH i. G.,"Errichtung einer neuen Betriebsstätte in 29478 Höhbeck, Fährstr. 1",2013,,2000000,
Elektro Ginkowski Inh. Detlef Ginkowski,"Aufbau eines umfassenden Marketingkonzeptes , Internet & Coporat",,2008,,2500
Elektrotechnik HP Petersen GmbH,Konzeptionelle Planung der Unternehnmensnachfolge,,2012,,10000
e-liberate GmbH,Entwicklung eines Corporate Design,,2012,,5000
Elke Thalemann - Hausverwaltung,Erstellung einer professionellen Internetpräsenz,,2012,,5200
Elmess Thermosystemtechnik GmbH & Co. KG,"Modernisierung der Hallen sowie Erweiterung des Bürogebäudes +
Anschaffung diverser Maschinen und Anlagen",,2013,,"336153,31"
Emerell GmbH,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,8600
"emkon Systemtechnik, Projektmanagement GmbH",Beratung zur Herstellung einer weiteren Beteiligungsfähigkeit,,2012,,10000
enbion GmbH,Einstellung eines Innovationsassistenten,,2011,,"10000,8"
"Energie- und Gewerbepark Verwaltungsgesellschaft
Rethem/Aller GmbH (EGRA)","Schadstoffsanierung des Werksgeländes der ehem.
Asbestzementfabrik TOSCHI in Rethem (Aller)",2014,,"108847,5",
"ENS - Freies Institut für technische Informatik UG
(haftungsbeschränkt)","Glass Sphere - modellbasierte Datenanalyse- und
Prädiktionssoftware für kleine und mittelständische Betriebe",2013,,27000,
Enserv EIS (Energy Industry Services) GmbH,"Beratung zur Entwicklung, Konstruktion und Fertigungsplanung von
seperaten Vorkammern für die Erhöhung von Standzeiten und",,2008,,8000
Erich Rothe GmbH,Erweiterung ohne Schaffung von Arbeitsplätzen,,2013,,"161355,87"
"Ernst Hasselbring GmbH & Co. KG Baustoff- und
Holzgroßhandel Baufachzentrum",Entwicklung eines Firmenlogos,,2012,,10000
Ernst Nowka GmbH & Co. KG,Erweiterung einer bestehenden Betriebsstätte,,2010,,"729259,38"
ESCoor Electronic Service Coordination GmbH,Errichtung einer Betriebsstätte,,2009,,422750
esyoil GmbH,Einstellung eines Innovationsassistenten,,2010,,12000
esyoil GmbH,Einstellung eines Innovationsassistenten,,2012,,"8954,54"
E-telligenz GmbH,Einstellung eines Innovationsassistenten,,2012,,12000
eudent Zahntechnik GmbH,Begleitende und konzeptionelle Marketingberatung,,2008,,3600
eurolaser GmbH,Erweiterung der Betriebsstätte,,2011,,205500
Europäisches Institut für Innovation e.V.,Energiekompetenz Osterholz,2012,,420000,
Evangelisches Bildungszentrum Bad Bederkesa,"Next Practice: Offene Hochschule - Entwicklung des Ev. Bildungsz
entrums als Kompetenz- und Energiereferenzzentrum",2010,,2355990,
"Evangelisches Bildungszentrum Her- mannsburg -
Heimvolkshochschule gGmbH","Infrastruktureller Ausbau des Bildungszentrums zur Erweiterung von
Bildungsmaßnahmen in Kooperation mit Hochschulen",2013,,"1166273,33",
"Evangelisches Bildungszentrum Her- mannsburg -
Heimvolkshochschule gGmbH","Modernisierung der Infrastruktur des Bildungszentrums zur Förder
ung der Weiterbildung nichttraditionell Studierender",2011,,"874173,54",
everloid GmbH,Erstellung eines Web-Marketing-Konzeptes,,2012,,3000
EVG Achim GmbH,Erschließung des Gewerbegebietes Achim-Ost,,2012,,4741905
EVG Achim GmbH,Gewerbepark Uesener Feld - Gewerbepark an der A27,2010,,"2706256,35",
EWT Eckert Wassertechnik GmbH,Errichtung einer neuen Betriebsstätte,2013,,102200,
explainity GmbH,Einstellung einer Innovationsassistentin,,2015,,15000
explainity GmbH,Gründung und Aufbau des Unternehmens explainity UG,,2013,,18000
F & M Anlagenbau GmbH,"Beratung zum Relaunch der Website und Werbemaßnahmen im
Web",,2014,,6000
F & M Anlagenbau GmbH,"Entwicklung und Integration des Anammox-Verfahrens in
geschlossenen Indoor-Fishfarming-Kreislaufsystemen",2013,,"65774,85",
FAC Frank Abels Consulting & Technology GmbH,Marketing und Werbung für Neukundengewinnung,,2009,,5925
Face & Body,"Beratung zur Neukundengewinnung und Umsatzsteigerung durch
Online-Marketing",,2014,,2000
Fachhochschule für die Wirtschaft Hannover,Celle Institut für Management und Technologie (CIMT),,2011,,"25542,49"
Fachhochschule für die Wirtschaft Hannover,"Celle Institut für Management und Technologie (CIMT)/E-Learning-
Infrastruktur",,2014,,"8229,8"
Fachhochschule für die Wirtschaft Hannover,"Datenbasierte Systemidentifikation zur iterativen Optimierung be
stehender Produktionsprozesse mit ausführbaren hybriden Modellen",,2014,,"222414,1"
"FACHPRAXIS FÜR LERNTRAINING Diplomierte Legasthenie-
u. Dyskalkulie- trainerin Kerstin Fechner",Entwicklung eines Web-Marketing-Konzeptes,,2011,,4800
factorIS GmbH,Erstellung eines Beteiligungskonzeptes,,2013,,4500
Fahrschule Kanapin,Erstellung eines Web-Marketing-Konzeptes,,2014,,3200
fairmobility AG,"Weiterentwicklung der bestehenden Service- und Einkaufsgesell-
schaft zu einem kompletten externen Dienstleistungsunternehmen",,2010,,10000
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",,2010,,"186287,1"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",,2011,,"183074,24"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",,2012,,"190019,78"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",,2013,,"181617,5"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",,2014,,"183009,94"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",2013,,"273294,17",
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg, Uelzen und
Koordinierungsstelle Plus",2013,,"277555,66",
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg.Uelzen und
Koordierungsstelle Plus",,2010,,"175920,98"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg.Uelzen und
Koordinierungsstelle Plus",,2011,,"175837,55"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg.Uelzen und
Koordinierungsstelle Plus",,2012,,"175648,89"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg.Uelzen und
Koordinierungsstelle Plus",,2013,,"177233,41"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg.Uelzen und
Koordinierungsstelle Plus",,2014,,"184187,57"
feffa e.V.,"Koordinierungsstelle und KoordinierungsstellePlus Frau & Wirtschaft
Landkreis Harburg",,2009,,"170494,32"
feffa e.V.,"Koordinierungsstelle und KoordinierungsstellePlus Frau & Wirtschaft
Lüneburg.Uelzen",,2009,,"169358,94"
Feng Shui Konzept Plus,Erarbeitung eines effektiven Online-Marketing-Konzeptes,,2012,,10000
"Fenster 2000 Lohrs und Wilhelm Fensterbau GmbH Helmut
Wilhelm u. Günther Lohrs",Erweiterung einer Betriebsstätte,2009,,141600,
Ferienwohnung Stölken,"Beratung zur Kundenbindung und Neukundengwinnung durch einen
proffesionellen Internet-Auftritt",,2013,,2800
Ferienwohnungen Regina Busch,Erstellung einer professionellen Internetpräsenz,,2011,,2400
FIPS,"Beratung zum Betrieb eines wettbewerbsfähigen Internetshops sowie
zum Online-Marketing",,2012,,10000
Fischräucherei Blockhaus,Erarbeitung eines professionellen Internetauftrittes,,2013,,10000
Flair Hotel Zur Eiche,Planung der Unternehmensübergabe,,2012,,10000
flair-dent GmbH,"Begleitende und konzeptionelle Beratung mit dem Schwerpunkt
Online-Marketing",,2008,,5200
Flecken Artlenburg,Optimierung der touristischen Infrastruktur im Hafen Artlenburg,,2013,,"356009,42"
Flecken Bad Bodenteich,Naturerlebnispfad Seewiesen,,2009,,"62158,24"
Flecken Bardowick,"Umgestaltung ""Am Markt"",Fördergebiet B, Bauabschnitt 2",,2009,,"350645,5"
Flecken Bardowick,"Umgestaltung ""Am Markt"", 3. BA",,2011,,"389093,11"
Flecken Bardowick,"Umgestaltung des Platzes ""Am Markt"", 1. Bauabschnitt",,2011,,"673891,2"
Flecken Freiburg,Aussenterrasse Kornspeicher,2014,,"71624,83",
Flecken Freiburg,"Entwicklung des zentralen Abschnittes der Hauptstr. als
Hauptgeschäftsstraße-2. BA u. des östl. Abschnittes d. Hauptstr.",,2014,,"281534,03"
Flecken Freiburg,"Entwicklung des zentralen Abschnitts der Hauptstraße als
Hauptgeschäftsstraße",,2011,,"289246,2"
Flecken Harsefeld,"Ausbau der Breitbandversorung in den Gewerbegebieten ""Im Sande""
und ""Weißenfelde"" im Flecken Harsefeld",,2014,,64213
Flecken Harsefeld,Bau eines Vereins- und Jugendhauses,,2014,,"667498,96"
Flecken Harsefeld,"Entwicklung der Bausubstanz der Eisporthalle Harsefeld (2. BA
Sozialbereich und Technikräume)",2014,,"78649,8",
Flecken Harsefeld,"Freiflächengestaltung Klosterpark/Klosterteiche
Spielplatzerweiterung/Neugestaltung",2014,,"44398,9",
Flecken Harsefeld,"Schaffung von Ersatzräumen für die Pfadfinder im Gebäude der
Haupt- und Realschule Harsefeld",,2014,,"130033,75"
Fleischerei Bernd Zimmermann GmbH,"Produkt- und Leistungsentwicklung:adäquate Vermarktung für
ernährungsbewusste Verbraucher",,2008,,10000
Fleischerfachgeschäft Middendorf,"Erstellung eines komplexen Marketingkonzeptes zur Verbesserung d
er Marktposition, Wettbewerbsfähigkeit und Profitabilität",,2010,,5600
Fliesen Partner Blank und Lindner GmbH,Anpassung Corporate Design,,2010,,2000
Florian Kahrs Handelsvertretung,Konzeptionelle Beratung zur Erstellung einer neuen Webseite,,2013,,"1137,5"
Florist Falten,Erarbeitung eines professionellen Internetauftrittes,,2012,,2400
Flügelchen Stade Ambulante Kinderkrankenpflege,Nutzung des Internets für Vermarktung,,2011,,2890
Förderverein Deutsches Ameisen- Erlebnis-Zentrum e.V.,Ameisen-Erlebnis-Ausstellung,,2011,,"17204,3"
"Förderverein Deutsches Luftschiff- und Marinefliegermuseum
Nordholz e.V. ""AERONAUTICUM""",Barrierefreier Tourismus: Modernisierung mit Fahrstuhl incl. Aus,,2010,,"284881,31"
Frauen-Zauber,"Beratung zur Erstellung eines webbasierten Shop-, Vertriebspartner-
und Kundeninformationssystems",,2014,,8750
Fredrich Metallbau und Schmiede,Erweiterung und Ausbau der Betriebsstätte,,2011,,"91468,21"
fre-e-tec GmbH & Co. KG,"Konzeptionelle Beratung zur Gewinnung neuer Kunden durch eine
verbesserte Internetpräsenz",,2012,,2000
Freizeit- und Campingpark GmbH & Co. KG,Püttenhüpper,,2013,,"75687,11"
Frenzel und Frenzel GmbH,"Beratung beim Aufbau und der Pflege eines positiven Markenimages
durch eine imagefördernde Internetpräsenz",,2014,,4000
fressonke.ewerth gebäudetechnik GmbH,"Aufbau eines systematischen Führungs- und
Personalentwicklungskonzeptes",,2013,,10000
Freundeskreis Filmmuseum Bendestorf e.V.,Kulturraum/Produzentenkino/Studio Bendestorf,2015,,250000,
Friede Bauzentrum GmbH,Verlagerung der Betriebsstätte,,2011,,447000
Fritz Fedderken e. K. Garten- und Motorgeräte,Erarbeitung einer Marketing-Strategie,,2010,,2000
Fruchtgroßhandel Rudolf Wahlen Inh. Volker Schuback,"Beratung und Konzeption zur Erstellung einer professionellen
Internetpräsenz",,2013,,4400
frühstarter Jasper Teßmann,Gründung und Aufbau Ihres Unternehmens frühstarter,,2014,,18000
Frye und Partner GbR,"Aufbau eines zweiten Kompetenzfeldes ""Bürobedarf und Einrichtung
""",,2009,,10000
Frye und Partner GbR,Entwicklung von Social-Marketing im Web,,2012,,10000
Frye und Partner GbR,"Positionierungsanalyse des Unternehmensmarketings und ggfs.
Neupositionierung",,2008,,6000
FTK Filter Technik Kausch e.K.,Erstellung eines Marketingkonzeptes,,2009,,2460
Fun & Active Frau Heike Banek,"Herstellung eines zeitgemäßen und schlüssigen Gesamtmarkenauftri
tts",,2009,,4000
Fun & Active Frau Heike Banek,"Herstellung eines zeitgemäßen und schlüssigen Gesamtmarkenauftri
tts",,2009,,4000
FW-Fernwärme-Technik GmbH,"Produktionsreife Entwicklung eines Dreifachrohrsystems für den
unterirdischen Transport von LNG",2013,,202800,
G. T. Anlagenbau Inh. Günther Twelkemeyer,Erarbeitung von Marketingmaßnahmen zur Existenzsicherung,,2011,,7350
G.G.C. Handelsgesellschaft mbH,"Beratung zur Übertragung des Unternehmens auf mehrere
Nachfolger",,2014,,"2399,76"
Gartencenter Westenberg,Erstellung einer professionellen Internetpräsenz,,2012,,3200
Gärtnerhof Weyerdeelen GmbH,Ermittlung des Weiterbildungsbedarfs,,2014,,"1977,54"
Gasthaus Dehrmann,Entwicklung eines Corporate Designs,,2012,,4000
Gasthaus Gambrinus,Beratung zur Vorbereitung der Betriebsübergabe,,2014,,8000
Gasthaus zur Linde,"Entwicklung eines Marketingkonzeptes zur Verbesserung der Ertrag
ssituation",,2011,,10000
Gasthof Hellwege,Entwicklung eines professionellen Internetauftrittes,,2012,,2200
Gaststätte Hotel Zum Osteblick,Erstellung einer professionellen Internetpräsenz,,2012,,6400
Gebr. Bindseil GmbH & Co. KG,Erweiterung der Betriebsstätte,,2010,,"680847,23"
Gebrüder Beetz Filmproduktion Hamburg GmbH & Co. KG,Errichtung einer Betriebsstätte,,2010,,35000
Geestland -Rathaus I-,"Änderung Ausbau ""Amtsstr./Berghorn""",,2011,,"459591,92"
Geestland -Rathaus I-,"Anschluss des Ortsteils Fickmühlen an die zentrale Abwasserbe-
seitigungsanlage Bederkesa- Flögeln",,2014,,"705064,21"
Geestland -Rathaus I-,"Attraktivierung des Saunabereiches der Moor-Therme Bad
Bederkesa",2013,,994550,
Geestland -Rathaus I-,"Aufbau einer breitbandigen elektronischen Kommunikation in der
Stadt Langen, OT Neuenwalde",2014,,89121,
