NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Deichverband Land Wursten,"Ufersicherung im Deichverband Land Wursten, Deckwerksbau Imsum
Schottwarden, Bauabschnitt 2008 und 2009",,2010,,"1.955.707,17"
Deichverband Osterstader Marsch,Verlängerung des Sielbauwerkes in Sandstedt,,2009,,"1.158.782,40"
Deichverband Osterstader Marsch,"13.5 Deichnacherhöhung, BA 1: Deichbau Lunesiel bis Rechtenfleth
BA 2008/2009 und BA 2: Deichbau Sandstedt-Offenwarden",,2009,,"5.408.075,76"
Deichverband Osterstader Marsch,"Deichnacherhöhung Rechtebe bis Wurthfleth - Abriss eines Gebäudes
in Rechtebe",,2009,,"30.376,36"
Deichverband Osterstader Marsch,Planung und Verlängerung des Indieksieles,,2010,,"2.875.077,23"
Deichverband Osterstader Marsch,Erneuerung Aschwardener Siel,,2009,,"2.305.805,41"
Deichverband Osterstader Marsch,"Kompensation Bodenentnahme Deichbau (Sohlgleite Drepte in
Wulsbüttel)",,2011,,"140.396,65"
Deichverband Osterstader Marsch,"Nacherhöhung des Weser-Hauptdeiches im Bereich Sandstedt bis
Offenwarden",,2010,,"888.390,69"
Deichverband Osterstader Marsch,"Nacherhöhung des Weser-Hauptdeiches im Bereich Sandstedt bis
Offenwarden, Bauabschnitt 2011",,2011,,"1.663.287,61"
Deichverband Osterstader Marsch,"Herstellen des Deichverteidigungsweges von Wurthfleth nach
Aschwarden - Überfahrt Mühle",,2013,,"682.145,07"
Delta Systemtechnik GmbH,Erweiterung einer Betriebsstätte,,2012,,"270.000,00"
Delta Systemtechnik GmbH,Weiterentwicklung des Corporate Design,,2011,,"10.000,00"
Dennis Hüsing Rechtsanwalt,Erstellung einer professionellen Internetpräsenz,,2013,,"8.300,00"
Der Elbfischer,"Beratung zur Neukundengewinnung und Kundenbindung durch Web-
Marketing",,2014,,"4.000,00"
Der Freden Bäcker GmbH,"Konzeptionelle Beratung zur individuellen Internetanalyse,
Suchmaschinen-Analyse und Optimierung",,2012,,"3.200,00"
Der Handwerker Thorsten Däter,"Durchführen einer Positionierungsanalyse und Erarbeiten einer
Marketingstrategie",,2010,,"10.000,00"
Der Pflegedienst Lilienthal GmbH,"Konzeptionelle Beratung zur Durchführung von teambasierten
Wissensbilanzen als gezielte Personalentwicklungsmaßnahme",,2013,,"7.600,00"
Der Weinkeller / Joachim Tomischat,Beratung zur Erstellung einer professionellen Internetpräsenz,,2013,,"3.400,00"
Derstappen Straßen & Tiefbau,Beratung im Bereich Kommunikationsdesign,,2010,,"2.400,00"
DestoClean Herrn Uwe Vagts,Erarbeitung von Marketingkonzepten und deren Umsetzung,,2008,,"3.600,00"
Detlef Keßler Fuhrbetrieb,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,"2.200,00"
Detlev Steinle - REWALUX,Betriebsverlagerung mit Erweiterung,,2009,,"43.300,00"
"Deutsches Zentrum für Luft- und Raumfahrt e. V. Institut für
Faserverbundleichtbau und Adaptronik",MoDifaR,,2015,,"900.000,00"
DF Holzbau,Erarbeitung einer Marketingstrategie,,2008,,"10.000,00"
Die Nestbauer Andreas Sippel,Anpassung von Kompetenzen der Beschäftigten,,2012,,"10.000,00"
Die Tischlerei Kresken GmbH,Neuausrichtung des Corporate Designs,,2012,,"6.800,00"
Die Tischlerin Dagmar Meyer,mit Verlagerung der Betriebsstätte,,2011,,"23.877,99"
die Zahnärzte Dr. Saskia von Alven Dr. Matthias Kage,Verbesserung des Markenaufbaus,,2012,,"5.000,00"
Digitalys GmbH,Einstellung eines Innovationsassistenten,,2012,,"9.322,08"
Dipl.-Ing. Peter Heitmann Ingenierbüro für Brandschutz GmbH,Begleitende Beratung zur Gewinnung neuer Kunden via Internet,,2013,,"3.400,00"
Dittmer Gastro-Service GmbH,Modernisierung der Corporate Identity,,2010,,"4.000,00"
Dohrmann-Tiefbau GmbH,Entwicklung eines Online-Marketingkonzeptes,,2012,,"960,00"
Donner's Hotel GmbH,"Hotelgewerbe, Geschäftsreisende, Urlauber, Tagungen",,2012,,"364.600,00"
Dow Deutschland Anlagengesellschaft mbH Werk Stade,KoHonG,,2016,,"77.745,93"
Dr. Friedrich Terjung,Erstellung eines Marketingkonzeptes,,2009,,"3.250,00"
"Dr. Karin Arjes, Tierärztin","Bekanntmachung der neuen Behandlungsmethoden und
Rückgewinnung d es verlorengegangenen Klientels",,2009,,"1.000,00"
Dr. Sebastian Graefe,"Konzeptionelle Beratung zur Erstellung eines Anforderungs- bzw.
Suchprofils für potenzielle Beteiligungspartner",,2014,,"4.925,00"
Dres. Haubert & Müller Zahnärztliche Gemeinschaftspraxis,Beratung zur Steigerung der Wettbewerbsfähigkeit über das Internet,,2013,,"4.400,00"
Dreyer & Bosse Kraftwerke GmbH,"Aufbau eines Vertriebs- und Servicenetzes Grunderwerb + baul.
Investitionen + Anschaffung v. Maschinen",,2012,,"758.800,00"
Dreyer & Bosse Kraftwerke GmbH,Pumpenschutzvorrichtung mittels Ultraschalltechnik,,2013,,"61.545,70"
Dreyer-Bienenhonig GmbH,Erweiterung einer Betriebsstätte,,2013,,"629.183,10"
Drölle Transporte Inh. Cay Drölle,Beratung zur Regelung der Nachfolge durch Generationswechsel,,2013,,"10.000,00"
DSV St. Jürgensfeld,Sanierung des Schlossbrückensiels,,2009,,"957.763,14"
DualLift GmbH,"Seilfangvorrichtung aus Aluminium Strangguss mit verkürzter
Auslösezeit und vermindertem Stoßfaktor",,2015,,"35.380,14"
Duhner Strandräuber,Entwicklung einer Onlinepräsenz,,2012,,"5.000,00"
Düwer Holzbau -De Timmermann-,Beratung zur Erstellung einer prof. Internetpräsenz,,2013,,"5.000,00"
DVG Decken-Vertriebs-Gesellschaft Tramm mbH,Intensivierung des Corporate Designs,,2009,,"2.500,00"
EBS Systemtechnik GmbH,Steigerung des Bekanntheitsgrades in der Region,,2010,,"1.060,00"
Eco Power Concept GmbH,Erstellung eines Web-Marketing-Konzeptes,,2012,,"6.800,00"
EDELMANN & PAULIG GmbH,Relaunch und Erweiterung des Produktdesigns,,2013,,"2.036,25"
EDELMANN & PAULIG Retail GmbH,Entwicklung eines Online-Marketingplanes,,2013,,"10.000,00"
Edition Eres,"Beratung und Konzeption zur Erstellung eines professionellen Oline-
Shops",,2011,,"8.000,00"
EES Nord GmbH,Erwerb eines Gebäudes,,2014,,"192.757,23"
Eggers Landmaschinen Inh. Erhard Eggers e.K.,Hallenerweiterung,,2011,,"140.000,00"
Eggert GmbH Bürofachhandel,Beratung zur Positionierung und Relaunch der Website,,2014,,"9.000,00"
Ehlers Seilerwarenfabrik GmbH,"Herstellung von Seilerwaren, Handel von Bastelartikeln",,2011,,"486.000,00"
Eichenhof Heimtierbestattungszentrum GmbH,Erwerb eines Grundstückes mit Gebäude,2010,,"398.977,15",
Eichenhof Helmste,Erstellung eines Web-Marketing-Konzeptes,,2012,,"4.400,00"
Eickhoff & Otten Rechtsanwälte,Entwicklung eines Corporate Designs,,2011,,"2.700,00"
"Eigenbetrieb Abwasserbeseitigung Ebstorf der Samtgemeinde
Bevensen - Ebstorf","Überleitung des Abwassers aus der Ortschaft Wulfsode in das
Klärwerk Ebstorf",,2015,,"676.482,60"
Eigenbrodt GmbH & Co.KG,Entwicklung eines automatischen Nebelsammlers,,2015,,"18.176,20"
Eisen Trabandt GmbH,Erarbeitung des Jubiläumslogo,,2012,,"10.000,00"
Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,"Ertüchtigung der Strecke Bremerhaven-Wulsdorf - Bremervörde von
Bahn-km 17,450 bis Bahn-km 33,480",,2011,,"7.007.566,28"
Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,"Ertüchtigung der Strecke Rotenburg (Wümme) - Bremervörde, 1.
Ausbaustufe und 2. Ausbaustufe - Teilmaßnahme 1",,2012,,"21.932.195,91"
Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,Oberbauertüchtigung und Spurplanoptimierung Bahnhof Bremervörde,,2015,,"3.052.470,23"
Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,"Ertüchtigung der Strecke Rotenburg (Wümme) - Bremervörde, 2.
Ausbaustufe - Teilmaßnahme 2.1, Ostebrücke",,2015,,"2.271.783,76"
Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,"Ertüchtigung der Strecke Rotenburg (Wümme) - Bremervörde, 2.
Ausbaustufe - Teilmaßnahme 2.2, Beverbrücke",,2016,,"1.399.041,59"
Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,"Ingenieurtechnische Vorplanung der Verbindungskurve Rotenburg
zwischen der evb-Strecke Rotenburg (Wümme) - Bremervörde",,2015,,"115.478,44"
Eisenbahnschule Bernd Fiske,Beratung zur Erschließung neuer Medien,,2013,,"8.800,00"
EKÜ-SPORT Gunnar Kühn e.K.,Entwicklung eines Onlineshops,,2013,,"8.645,62"
Elbclearing GmbH & Co. KG,"Beratung zur Neukundengewinnung und Kundenbindung durch Web-
Marketing",,2014,,"6.000,00"
Elbe-Flossfahrten,"Entwicklung und Anschaffung zweier Naturbeobachtungsflöße mit
Hybrid- und Solarantrieb",,2010,,"218.000,00"
Elbers Hof GbR,"Beratung zu Analyse und Optimierung des Unternehmens und zur
Planung der Nachfolge",,2014,,"3.840,00"
ELBTALAUE Naturkostprodukte GmbH,"Errichtung einer neuen Betriebsstätte in 29478 Höhbeck, Fährstr. 1",,2015,,"2.000.000,00"
Elektro Ginkowski Inh. Detlef Ginkowski,"Aufbau eines umfassenden Marketingkonzeptes , Internet & Coporat",,2008,,"2.500,00"
Elektrotechnik HP Petersen GmbH,Konzeptionelle Planung der Unternehnmensnachfolge,,2012,,"10.000,00"
e-liberate GmbH,Entwicklung eines Corporate Design,,2012,,"5.000,00"
Elke Thalemann - Hausverwaltung,Erstellung einer professionellen Internetpräsenz,,2012,,"5.200,00"
Elmess Thermosystemtechnik GmbH & Co. KG,"Modernisierung der Hallen sowie Erweiterung des Bürogebäudes +
Anschaffung diverser Maschinen und Anlagen",,2013,,"336.090,29"
Emerell GmbH,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,"8.600,00"
"emkon Systemtechnik, Projektmanagement GmbH",Beratung zur Herstellung einer weiteren Beteiligungsfähigkeit,,2012,,"10.000,00"
enbion GmbH,Einstellung eines Innovationsassistenten,,2011,,"10.000,80"
"Energie- und Gewerbepark Verwaltungsgesellschaft Rethem/Aller
GmbH (EGRA)","Schadstoffsanierung des Werksgeländes der ehem.
Asbestzementfabrik TOSCHI in Rethem (Aller)",,2015,,"112.585,00"
"ENS - Freies Institut für technische Informatik UG
(haftungsbeschränkt)","Glass Sphere - modellbasierte Datenanalyse- und Prädiktionssoftware
für kleine und mittelständische Betriebe",,2015,,"27.000,00"
Enserv EIS (Energy Industry Services) GmbH,"Beratung zur Entwicklung, Konstruktion und Fertigungsplanung von
seperaten Vorkammern für die Erhöhung von Standzeiten",,2008,,"8.000,00"
Erich Rothe GmbH,Erweiterung ohne Schaffung von Arbeitsplätzen,,2013,,"161.355,87"
"Ernst Hasselbring GmbH & Co. KG Baustoff- und Holzgroßhandel
Baufachzentrum",Entwicklung eines Firmenlogos,,2012,,"10.000,00"
Ernst Nowka GmbH & Co. KG,Erweiterung einer bestehenden Betriebsstätte,,2010,,"729.259,38"
ESCoor Electronic Service Coordination GmbH,Errichtung einer Betriebsstätte,,2009,,"422.750,00"
esyoil GmbH,Einstellung eines Innovationsassistenten,,2010,,"12.000,00"
esyoil GmbH,Einstellung eines Innovationsassistenten,,2012,,"8.954,54"
E-telligenz GmbH,Einstellung eines Innovationsassistenten,,2012,,"12.000,00"
eudent Zahntechnik GmbH,Begleitende und konzeptionelle Marketingberatung,,2008,,"3.600,00"
eurolaser GmbH,Erweiterung der Betriebsstätte,,2011,,"205.500,00"
Europäisches Institut für Innovation e.V.,Energiekompetenz Osterholz,,2016,,"405.708,17"
Europe Match GmbH,Beratung zur Überarbeitung der Werbepräsenz im Internet,,2013,,"6.000,00"
Evangelisches Bildungszentrum Bad Bederkesa,"Next Practice: Offene Hochschule - Entwicklung des Ev.
Bildungszentrums als Kompetenz- und Energiereferenzzentrum",,2016,,"2.312.990,00"
"Evangelisches Bildungszentrum Her- mannsburg -
Heimvolkshochschule gGmbH","Modernisierung der Infrastruktur des Bildungszentrums zur Förderung
der Weiterbildung nichttraditionell Studierender",,2015,,"874.173,54"
"Evangelisches Bildungszentrum Her- mannsburg -
Heimvolkshochschule gGmbH","Infrastruktureller Ausbau des Bildungszentrums zur Erweiterung von
Bildungsmaßnahmen in Kooperation mit Hochschulen",,2015,,"1.166.273,33"
everloid GmbH,Erstellung eines Web-Marketing-Konzeptes,,2012,,"3.000,00"
EVG Achim GmbH,Erschließung des Gewerbegebietes Achim-Ost,,2012,,"4.741.905,00"
EVG Achim GmbH,Gewerbepark Uesener Feld - Gewerbepark an der A27,,2015,,"1.310.150,93"
EWT Eckert Wassertechnik GmbH,Errichtung einer neuen Betriebsstätte,,2015,,"102.200,00"
explainity GmbH,Gründung und Aufbau des Unternehmens explainity UG,,2013,,"18.000,00"
explainity GmbH,Einstellung einer Innovationsassistentin,,2015,,"15.000,00"
F & M Anlagenbau GmbH,Beratung zum Relaunch der Website und Werbemaßnahmen im Web,,2014,,"6.000,00"
FAC Frank Abels Consulting & Technology GmbH,Marketing und Werbung für Neukundengewinnung,,2009,,"5.925,00"
Face & Body,"Beratung zur Neukundengewinnung und Umsatzsteigerung durch
Online-Marketing",,2014,,"2.000,00"
Fachhochschule für die Wirtschaft Hannover,Celle Institut für Management und Technologie (CIMT),,2011,,"25.542,49"
Fachhochschule für die Wirtschaft Hannover,"Datenbasierte Systemidentifikation zur iterativen Optimierung
bestehender Produktionsprozesse mit ausführbaren hybriden
Modellen",,2014,,"222.414,10"
Fachhochschule für die Wirtschaft Hannover,"Celle Institut für Management und Technologie (CIMT)/E-Learning-
Infrastruktur",,2014,,"8.229,80"
"FACHPRAXIS FÜR LERNTRAINING Diplomierte Legasthenie- u.
Dyskalkulie- trainerin Kerstin Fechner",Entwicklung eines Web-Marketing-Konzeptes,,2011,,"4.800,00"
factorIS GmbH,Erstellung eines Beteiligungskonzeptes,,2013,,"4.500,00"
Fahrschule Kanapin,Erstellung eines Web-Marketing-Konzeptes,,2014,,"3.200,00"
fairmobility AG,"Weiterentwicklung der bestehenden Service- und Einkaufsgesell-
schaft zu einem kompletten externen Dienstleistungsunternehmen",,2010,,"10.000,00"
Fairzauberung Barbara Dillmann,Entwicklung einer Corporate Identity,,2011,,"3.980,00"
feffa e.V.,"Koordinierungsstelle und KoordinierungsstellePlus Frau & Wirtschaft
Lüneburg.Uelzen",,2009,,"169.358,94"
feffa e.V.,"Koordinierungsstelle und KoordinierungsstellePlus Frau & Wirtschaft
Landkreis Harburg",,2009,,"170.494,32"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",,2010,,"186.287,10"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg.Uelzen und
Koordierungsstelle Plus",,2010,,"175.920,98"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",,2011,,"183.074,24"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg.Uelzen und
Koordinierungsstelle Plus",,2011,,"175.837,55"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",,2012,,"190.019,78"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg.Uelzen und
Koordinierungsstelle Plus",,2012,,"175.648,89"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg.Uelzen und
Koordinierungsstelle Plus",,2013,,"177.233,41"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",,2013,,"181.617,50"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",,2014,,"183.009,94"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg.Uelzen und
Koordinierungsstelle Plus",,2014,,"184.187,57"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",,2016,,"293.459,62"
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg, Uelzen und
Koordinierungsstelle Plus",,2016,,"312.625,48"
Feng Shui Konzept Plus,Erarbeitung eines effektiven Online-Marketing-Konzeptes,,2012,,"10.000,00"
"Fenster 2000 Lohrs und Wilhelm Fensterbau GmbH Helmut
Wilhelm u. Günther Lohrs",Erweiterung einer Betriebsstätte,,2011,,"141.600,00"
Ferienwohnung Stölken,"Beratung zur Kundenbindung und Neukundengwinnung durch einen
proffesionellen Internet-Auftritt",,2013,,"2.800,00"
Ferienwohnungen Regina Busch,Erstellung einer professionellen Internetpräsenz,,2011,,"2.400,00"
FIPS,"Beratung zum Betrieb eines wettbewerbsfähigen Internetshops sowie
zum Online-Marketing",,2012,,"10.000,00"
Fischer Augenoptik,"Beratung zur Erweiterung und Optimierung der Kommunikation in den
elektronischen Medien und des Web-Marketing",,2014,,"5.600,00"
Fischer GmbH,Marketingberatung mit Etablierung eines Business- kundencenters,,2009,,"10.000,00"
Fischer GmbH,Erstellung eines Web-Marketing-Konzeptes,,2012,,"10.000,00"
Fischräucherei Blockhaus,Erarbeitung eines professionellen Internetauftrittes,,2013,,"10.000,00"
Flair Hotel Zur Eiche,Planung der Unternehmensübergabe,,2012,,"10.000,00"
flair-dent GmbH,"Begleitende und konzeptionelle Beratung mit dem Schwerpunkt Online
Marketing",,2008,,"5.200,00"
Flecken Artlenburg,Optimierung der touristischen Infrastruktur im Hafen Artlenburg,,2013,,"356.009,42"
Flecken Bad Bodenteich,Naturerlebnispfad Seewiesen,,2009,,"62.158,24"
Flecken Bardowick,"Umgestaltung ""Am Markt"",Fördergebiet B, Bauabschnitt 2",,2009,,"350.645,50"
Flecken Bardowick,"Umgestaltung des Platzes ""Am Markt"", 1. Bauabschnitt",,2011,,"673.891,20"
Flecken Bardowick,"Umgestaltung ""Am Markt"", 3. BA",,2011,,"389.093,11"
Flecken Freiburg,"Entwicklung des zentralen Abschnitts der Hauptstraße als
Hauptgeschäftsstraße",,2011,,"289.246,20"
Flecken Freiburg,"Entwicklung des zentralen Abschnittes der Hauptstr. als
Hauptgeschäftsstraße-2. BA u. des östl. Abschnittes d. Hauptstr.",,2014,,"281.534,03"
Flecken Freiburg,Aussenterrasse Kornspeicher,,2015,,"67.720,37"
Flecken Harsefeld,Bau eines Vereins- und Jugendhauses,,2014,,"667.498,96"
Flecken Harsefeld,"Ausbau der Breitbandversorung in den Gewerbegebieten ""Im Sande""
und ""Weißenfelde"" im Flecken Harsefeld",,2014,,"64.213,00"
Flecken Harsefeld,"Schaffung von Ersatzräumen für die Pfadfinder im Gebäude der Haupt-
und Realschule Harsefeld",,2014,,"130.033,75"
Flecken Harsefeld,"Entwicklung der Bausubstanz der Eisporthalle Harsefeld (2. BA
Sozialbereich und Technikräume)",,2015,,"67.213,61"
Fleischerei Bernd Zimmermann GmbH,"Produkt- und Leistungsentwicklung:adäquate Vermarktung für
ernährungsbewusste Verbraucher",,2008,,"10.000,00"
Fleischerfachgeschäft Middendorf,"Erstellung eines komplexen Marketingkonzeptes zur Verbesserung der
Marktposition, Wettbewerbsfähigkeit und Profitabilität",,2010,,"5.600,00"
Fliesen Partner Blank und Lindner GmbH,Anpassung Corporate Design,,2010,,"2.000,00"
Florian Kahrs Handelsvertretung,Konzeptionelle Beratung zur Erstellung einer neuen Webseite,,2013,,"1.137,50"
Florist Falten,Erarbeitung eines professionellen Internetauftrittes,,2012,,"2.400,00"
Flügelchen Stade Ambulante Kinderkrankenpflege,Nutzung des Internets für Vermarktung,,2011,,"2.890,00"
Förderverein der Arche-Region Flusslandschaft Elbe e.V.,Marketingmaßnahmen für die Arche Region,,2016,,"30.000,00"
Förderverein Deutsches Ameisen- Erlebnis-Zentrum e.V.,Ameisen-Erlebnis-Ausstellung,,2011,,"17.204,30"
"Förderverein Deutsches Luftschiff- und Marinefliegermuseum
Nordholz e.V. ""AERONAUTICUM""",Barrierefreier Tourismus: Modernisierung mit Fahrstuhl incl. Aus.,,2010,,"284.881,31"
Frauen-Zauber,"Beratung zur Erstellung eines webbasierten Shop-, Vertriebspartner-
und Kundeninformationssystems",,2014,,"8.750,00"
Fredrich Metallbau und Schmiede,Erweiterung und Ausbau der Betriebsstätte,,2011,,"91.468,21"
fre-e-tec GmbH & Co. KG,"Konzeptionelle Beratung zur Gewinnung neuer Kunden durch eine
verbesserte Internetpräsenz",,2012,,"2.000,00"
Freizeit- und Campingpark GmbH & Co. KG,Püttenhüpper,,2013,,"75.687,11"
Frenzel und Frenzel GmbH,"Beratung beim Aufbau und der Pflege eines positiven Markenimages
durch eine imagefördernde Internetpräsenz",,2014,,"4.000,00"
fressonke.ewerth gebäudetechnik GmbH,"Aufbau eines systematischen Führungs- und
Personalentwicklungskonzeptes",,2013,,"10.000,00"
Freundeskreis Filmmuseum Bendestorf e.V.,Kulturraum/Produzentenkino/Studio Bendestorf,,2016,,"197.000,95"
Friede Bauzentrum GmbH,Verlagerung der Betriebsstätte,,2011,,"447.000,00"
Fritz Fedderken e. K. Garten- und Motorgeräte,Erarbeitung einer Marketing-Strategie,,2010,,"2.000,00"
Fruchtgroßhandel Rudolf Wahlen Inh. Volker Schuback,"Beratung und Konzeption zur Erstellung einer professionellen
Internetpräsenz",,2013,,"4.400,00"
frühstarter Jasper Teßmann,Gründung und Aufbau Ihres Unternehmens frühstarter,,2014,,"18.000,00"
