Begunstigde,Titel van het project (naam van de concrete actie),Titel van het project in het Engels,Fonds,Autoriteit,Samenvatting,Website project,EU-subsidie in Euro's,Overige publieke financiering,Overige private financiering,Totale kosten in Euro's,Medefinancieringspercentage van de Unie (per prioritaire as),Datum van laatste bijwerking,Begindatum,Einddatum,Thematische doelstelling
Stichting PodiumKunstWerk,Stichting PodiumKunstWerk,,ESF,,"De kunstwereld heeft meer dan ooit behoefte aan professionele ondersteuning. Daarin voorziet dit ESF-scholingsproject. Mensen die werkzaam zijn in de kunst- en cultuursector volgen een opleiding op administratief, organisatorisch of technisch gebied. Ook voor verdieping en verbreding van bestaande competenties zijn opleidingen beschikbaar.
Vooral laagopgeleiden in de culturele sector vergroten met deze leertrajecten hun mogelijkheden om hun functie professioneel te blijven vervullen.",,311.248,,,778.121,40,11.02.2016,01.01.2009,31.12.2009,
Stichting Fonds Leren en Ontwikkelen Wooncorporaties,Stichting Fonds Leren en Ontwikkelen Wooncorporaties,,ESF,,"Het Fonds Leren en Ontwikkelen Wooncorporaties (FLOW) heeft een aantal opleidingen geselecteerd om vooral oudere werknemers uit de branche aan een startkwalificatie (mbo-2) te helpen. Wanneer een werknemer een opleiding volgt die geselecteerd is door FLOW, dan kan de woningcorporatie subsidie aanvragen voor de kosten daarvan.
Dit initiatief sluit aan bij de behoeften van de sector en van de medewerkers zelf. De scholingsactiviteiten hebben betrekking op onder meer automatisering, klantgerichtheid en vaktechnische kennis. Het behalen van een ervaringscertificaat behoort ook tot de mogelijkheden.
Overigens, ook jongere medewerkers m̩t startkwalificatie kunnen in aanmerking komen voor subsidie. ",,663.707,,,1.659.272,40,11.02.2016,01.03.2009,28.02.2010,
Opleidings- en Ontwikkelingsfonds Carrosserie,Opleidings- en Ontwikkelingsfonds Carrosserie,,ESF,,"Snelle technologische ontwikkelingen stellen steeds hogere eisen aan werknemers in de carrosseriebranche. Om de ontwikkelingen in hun vak bij te houden, moeten zij zich blijvend bijscholen. Met ESF-subsidie kunnen laagopgeleiden uit de sector hun vakkennis op peil houden en daarmee hun inzetbaarheid verhogen.
Ook nieuwkomers en niet-branchegenoten kunnen van dit scholingsprogramma gebruik maken. Het programma voorziet naast vakcursussen in het behalen van het ervaringscertificaat. Speciale aandacht gaat uit naar ouderen, jongeren, personeel zonder startkwalificatie (mbo-2) en gedeeltelijk arbeidsongeschikte medewerkers.",,2.775.260,,,6.938.150,40,11.02.2016,01.11.2008,31.10.2009,
Stichting Sectorfonds Luchtvaart,Stichting Sectorfonds Luchtvaart,,ESF,,"Stichting Sectorfonds Luchtvaart (SSL) bevordert met steun van het ESF scholing voor huidige en nieuwe werknemers in de sector. Deze medewerkers vergroten daarmee hun inzetbaarheid en hun kansen op werk.
De behoefte aan goed gekwalificeerd personeel is groot. Door nieuwe technologie��n en scherpere veiligheidseisen is voortdurende bijscholing noodzakelijk. Binnen het ESF-programma bestaat vooral aandacht voor lager opgeleiden, jongeren en ouderen.
De SSL werkt op scholingsgebied samen met de Stichting Opleiding &amp;amp; Ontwikkeling Flexbranche. Hierdoor komt een baan in de luchtvaart binnen het bereik van uitzendkrachten.",,215.666,,,539.165,40,11.02.2016,01.01.2009,31.12.2009,
Stichting SWO,Stichting SWO,,ESF,,"De Stichting Sport biedt met steun van het ESF scholingsprogramma's aan voor medewerkers uit de branche en hun toekomstige collega's. Hiermee blijft hun vakkennis op peil, zijn zij breder inzetbaar en stromen zij makkelijker door naar andere functies. Binnen het ESF-programma bestaat vooral aandacht voor lager opgeleiden, jongeren, ouderen en werknemers die gedeeltelijk arbeidsongeschikt zijn. Het behalen van een ervaringscertificaat behoort tot de mogelijkheden. De Stichting Sport werkt op scholingsgebied samen met de Stichting Opleiding &amp;amp; Ontwikkeling Flexbranche. Hierdoor komt een baan in de sector binnen het bereik van uitzendkrachten.",,471.560,,,1.178.900,40,11.02.2016,30.04.2009,29.04.2010,
Stichting OOI,Stichting OOI,,ESF,,"Werknemers in het thermische isolatiebedrijf kunnen zich met subsidie van het ESF laten bijscholen tot mbo-4-niveau. Hiermee brengen zij hun vakbekwaamheid op peil en verbeteren zij hun functioneren, nu en in de toekomst. ",,999.999,,,2.499.999,40,11.02.2016,01.01.2009,31.12.2009,
Stichting TPG Opleidings- en Ontwikkelingsfonds,Stichting TPG Opleidings- en Ontwikkelingsfonds,,ESF,,"In 2008 is binnen TNT het grootschalige opleidingsprogramma 'TNT Challenge 2009' gestart, bestemd voor de eigen medewerkers. Binnen dit project hebben in totaal 55.271 deelnemers een opleiding gevolgd, onder wie 22.299 vrouwen. Het programma bevat de onderdelen:
zorg &amp;amp; veiligheid;
    management;
    computervaardigheden;
    transport &amp;amp; logistiek;
    financi��n &amp;amp; administratie.
Daarnaast omvat het programma erkende vakopleidingen die de deelnemers weerbaarder maken en hun kansen op de arbeidsmarkt vergroten.",,2.999.605,,,7.499.013,40,11.02.2016,30.09.2008,29.09.2009,
Stichting OOM,Stichting OOM,,ESF,,Met subsidie van het ESF laten werknemers in de metaal en hun toekomstige collega's zich bijscholen. BBL-trajecten (Beroeps Begeleidende Leerweg) maken onderdeel uit van dit project. Oudere of gedeeltelijk arbeidsongeschikte werknemers krijgen speciale aandacht,,2.999.730,,,7.499.325,40,11.02.2016,01.01.2009,31.12.2009,
Stichting A&amp;O fondsgrafimediabranche,Stichting A&amp;O fondsgrafimediabranche,,ESF,,"Met behulp van ESF-subsidie is een scholingsproject uitgevoerd voor werknemers in de grafische sector en die van de gedrukte media. De deelnemers hebben hun vaardigheden op een hoger niveau gebracht. Daardoor zijn zij weerbaarder zijn geworden op de arbeidsmarkt binnen de snel veranderende grafimediabranche.
Het A&amp;amp;O Fonds Grafimediabranche is een brancheorganisatie voor de grafische sector en de gedrukte media. Het fonds houdt zich onder meer bezig met onderwijs voor werknemers in deze sector. De arbeidsmarktsituatie binnen de grafimedia is complex en paradoxaal: de bedrijfstak krimpt en tegelijk zijn er moeilijk invulbare vacatures. Door deze ontwikkelingen heeft het Fonds besloten deze subsidieaanvraag in te dienen.",,2.412.394,,,6.030.987,40,11.02.2016,01.01.2009,31.12.2009,
Stichting Sociaal Fonds voor het Horecabedrijf (SFH),Stichting Sociaal Fonds voor het Horecabedrijf (SFH),,ESF,,Met steun van het ESF krijgen medewerkers in de horeca de kans om zich bij te laten scholen tot mbo-4-niveau.,,999.999,,,2.499.999,40,11.02.2016,01.01.2009,31.12.2009,
Stichting Fonds Collectieve Belangen voor de Vleessector,Stichting Fonds Collectieve Belangen voor de Vleessector,,ESF,,"Met steun van het ESF krijgen medewerkers in vleessector de kans om zich bij te laten scholen. Als hun vakkennis op peil is, functioneren zij optimaal.",,485.042,,,1.212.607,40,11.02.2016,31.08.2008,30.08.2009,
STOOF,STOOF,,ESF,,"Stichting Opleiding &amp;amp; Ontwikkeling Flexsector (STOOF) stimuleert scholing tot maximaal mbo-4-niveau van medewerkers in de uitzendbranche. Speciale aandacht gaat uit naar jongeren, ouderen en gedeeltelijk arbeidsongeschikten. Zowel vaste werknemers als uitzendkrachten in de flexsector kunnen meedoen aan de opleidingsprogramma's, die het ESF meefinanciert. STOOF regelt de ESF-gelden via het Agentschap SZW. Bovenop de gewone subsidies zijn bonussen mogelijk.",,995.582,,,2.488.956,40,11.02.2016,31.03.2009,30.03.2010,
Stichting Scholing en Werving,Stichting Scholing en Werving,,ESF,,Met steun van het ESF kunnen werknemers in de sector railvervoer hun vakkennis op peil houden of brengen. Vooral ouderen en jongeren profiteren daarvan. Ook kunnen ervaren medewerkers hun ervaringscertificaat halen. Deelnemers aan deze scholingsactiviteiten vergroten hun inzetbaarheid en hun kansen op de arbeidsmarkt.,,2.299.077,,,5.747.694,40,11.02.2016,01.01.2009,31.12.2009,
Stichting FAOT,Stichting FAOT,,ESF,,"Dit project van het ESF zorgt voor extra opleidingen voor werknemers van Verpleeg- en Verzorgingshuizen. De opleidingen bereiden de deelnemers voor op de vele veranderende omstandigheden binnen de zorg. Het project richt zich met name op ouderen, jongeren en laagopgeleiden zonder startkwalificatie (mbo-2).
De leergangen voorzien in certificering, diplomas op maximaal mbo-4-niveau en EVC-trajecten (Erkennen Verworven Competenties).
De cursisten vergoten hun deskundigheid en verbreden zodoende hun inzetbaarheid.",,2.999.878,,,7.499.695,40,11.02.2016,31.03.2009,30.03.2010,
Stichting Opleidings- en Ontwikkelingsfonds Beroepsgoederenvervoer over de Weg en de Verhuur van Mob,Stichting Opleidings- en Ontwikkelingsfonds Beroepsgoederenvervoer over de Weg en de Verhuur van Mob,,ESF,,"De Stichting Opleidings- en Ontwikkelingsfonds Beroepsgoederenvervoer over de Weg en de Verhuur van Mobiele Kranen (SOOB) is het branchefonds voor de sector beroepsgoederenvervoer in Nederland. Het doel van SOOB is het bevorderen van goede arbeidsverhoudingen in de bedrijfstak en het financieren van activiteiten die daaraan kunnen bijdragen.
Het doel van het EFS-project is extra instroom van chauffeurs en een hogere scholingsgraad van medewerkers in de branche. Dat gebeurt door financi��le steun aan (rij)opleidingen en aan extra publiciteit die de instroom van chauffeurs moet bevorderen. De sector kent een groot tekort aan gekwalificeerde medewerkers.",,2.999.866,,,7.499.666,40,11.02.2016,30.04.2009,29.04.2010,
stichting OOMT,Stichting OOMT,,ESF,,"Met het ESF-project krijgen werknemers uit de motorvoertuigen-, de tweewieler- en de carrosseriebranche de kans hun vakkennis op het door de branche gewenste peil te brengen. Hun inzetbaarheid binnen de sector neemt daarmee toe. Het gaat om vierduizend medewerkers. De brancheorganisaties OOMT en OOC verzorgen opleidingen tot maximaal mbo-4-niveau op Regionale Praktijk Trainingen (RPT). Ervaren medewerkers kunnen hun vakmanschap verzilveren met het ervaringscertificaat.",,1.608.798,,,4.021.996,40,11.02.2016,01.01.2009,31.12.2009,
Stichting Opleidings- en Ontwikkelingsfonds Zeescheepvaart,Opleidingsprogramma 'uitgevallen' jongeren,,ESF,,"Scholieren die voortijdig het onderwijs verlaten, zorgen voor vergrijzing van de bedrijfstakken Zeescheepvaart en Zeevisserij. Om die ontwikkeling tegen te gaan, organiseert Stichting de Opleidings- en Ontwikkelingsfonds Zeescheepvaart sectorbreed scholingsactiviteiten voor deze jongeren. Het ESF subsidieert dit initiatief. Laaggekwalificeerde jongeren blijven op deze manier behouden voor de branche.",,101.488,,,101.488,100,11.02.2016,01.10.2008,31.08.2009,
Stichting Fonds Collectieve Belangen voor de Pluimveeverwerkende Industrie,Scholing van werkenden in de pluimveesector-3,,ESF,,"De pluimveesector investeert traditioneel veel in scholing. Door voortdurend veranderende regelgeving en veiligheidseisen kan de sector zich geen kennisachterstand veroorloven. Ook grote concurrentie en tegenslagen als de vogelpest dwingen medewerkers in de branche tot een hoge mate van professionaliteit. De sector investeert daarom in scholingsprojecten, die deels worden gefinancierd door het ESF.",,499.999,,,499.999,100,11.02.2016,01.05.2009,30.04.2010,
"Stichting O&amp;Ofonds voor de markt van Re-integratie, Arbodienstverlening en Mobiliteit",Mens is kapitaal,,ESF,,"Dit ESF-project verbetert de positie van laag opgeleide werknemers en mensen met een arbeidsbeperking. Het gaat om werknemers zonder startkwalificatie (mbo2) in de sector Re��ntegratie, Arbodienstverlening en Mobiliteit. In bijna alle gevallen behalen zij ook hun ervaringscertificaat. Na afronding van het leertraject staan de cursisten een stuk sterker in de arbeidsmarkt.",,548.661,,,548.661,100,11.02.2016,01.05.2009,30.04.2010,
Stichting OOBB,Scholing werkenden BBL Bouw 2008-2009,,ESF,,"Van oudsher is de scholingsgraad van werknemers in de bouw laag. Het ESF subsidieert een project dat daarin verandering brengt. Dat is goed voor het imago van de branche en het is goed voor de medewerkers zelf. Het project voorziet in bijscholing tot maximaal mbo-4-niveau. Deelnemers aan het opleidingstraject vergroten hun inzetbaarheid en hun carri̬rekansen, binnen hun bedrijf zowel als daarbuiten.",,1.071.218,,,1.071.218,100,11.02.2016,01.10.2008,30.09.2009,
"Stichting O&amp;Ofonds voor de markt van Re-integratie, Arbodienstverlening en Mobiliteit",Preventief Scholing 2008,,ESF,,"Dit ESF-project verbetert de positie van laag opgeleide werknemers en mensen met een arbeidsbeperking. Het gaat om werknemers zonder startkwalificatie (mbo2) in de sector Re��ntegratie, Arbodienstverlening en Mobiliteit. In bijna alle gevallen behalen zij ook hun ervaringscertificaat. Na afronding van het leertraject staan de cursisten een stuk sterker in de arbeidsmarkt.",,312.542,,,312.542,100,11.02.2016,01.05.2009,30.04.2010,
Stichting Opleidings- en Ontwikkelingsfonds Zeescheepvaart,Opleidingsprogramma voor  'uitgevallen' jongeren,,ESF,,"Scholieren die voortijdig het onderwijs verlaten, zorgen voor vergrijzing van de bedrijfstakken Zeescheepvaart en Zeevisserij. Om die ontwikkeling tegen te gaan, organiseert Stichting de Opleidings- en Ontwikkelingsfonds Zeescheepvaart sectorbreed scholingsactiviteiten voor deze jongeren. Het ESF subsidieert dit initiatief. Laaggekwalificeerde jongeren blijven op deze manier behouden voor de branche.",,71.488,,,71.488,100,11.02.2016,01.05.2009,30.04.2010,
Stichting Arbeidsmarkt Ziekenhuizen,Inn. leren en werken 2 in het zhuis  v.d. 21e eeuw,,ESF,,"Medewerkers van Orbis medisch en zorgconcern, divisie Maaslandziekenhuis, verbreden met steun van het ESF hun inzetbaarheid op de arbeidsmarkt. Het ESF-project bestaat uit vakopleidingen en cursussen, die worden afgerond met erkende certificaten. Het Maaslandziekenhuis moedigt met name ouderen en jongeren aan tot deelname aan de scholingsactiviteiten, die tot aan mbo-4-niveau reiken.",,1.023.483,,,1.023.483,100,11.02.2016,14.11.2008,13.11.2009,
Stichting Beheer Collectieve Middelen (SBCM),Upgradingsprogramma WML 2008/2009,,ESF,,Werknemers in de sociale werkvoorziening en andere vormen van gesubsidieerde arbeid krijgen via WML bijscholing met steun van het ESF. WML is een erkend leerwerkbedrijf dat veel investeert in de opleiding van zijn mensen. Hun functioneren gaat erop vooruit en daarmee hun motivatie. Ook kunnen zij effectiever op de arbeidsmarkt worden ingezet. Behalve voor medewerkers met SW-indicatie kunnen ook leiding en staf aan de opleidingsactiviteiten deelnemen. Het niveau van de opleidingen is maximaal mbo-4.,,112.814,,,112.814,100,11.02.2016,01.09.2008,31.08.2009,
FCB,Bedrijfshulpverlening en EHBO,,ESF,,FCB helpt vakbekwame werknemers zonder theoretische achtergrond aan een ervaringscertificaat. Dat gebeurt met steun van het ESF. Ook opleidingen op het gebied van Bedrijfshulpverlening en EHBO behoren binnen dit project tot de mogelijkheden.,,174.012,,,174.012,100,11.02.2016,27.04.2009,25.04.2010,
"St. Opleidings- en Ontwikkelingsfonds Arbeidsmarkt, Participatie en Diversiteit",Stap Voorwaarts,,ESF,,Werknemers in de sociaal culturele sector zijn vaak onvoldoende geschoold om te kunnen voldoen aan de wettelijke eisen die hun werk met zich meebrengt. Om hen voor de sector te behouden krijgen zij met steun van het ESF bijscholing tot het gewenste niveau. Daarnaast verdiepen zij zich binnen dit project in nieuwe methoden en technieken in hun vakgebied. Zo voorkomen zij een kennisachterstand en vergroten zij hun mobiliteit op de arbeidsmarkt.,,260.000,,,260.000,100,11.02.2016,01.01.2009,31.12.2009,
Stichting Beheer Collectieve Middelen (SBCM),Delta ESF scholingsprogramma 2009,,ESF,,"De eisen die de markt stelt aan medewerkers van de sociale werkgelegenheid veranderen voortdurend en daarmee de inhoud van de dienstverlening. Dat vraagt om een actief scholingsbeleid van Delta. Het ESF betaalt daaraan mee, voor zover het opleidingsniveau niet dat van mbo-4 te boven gaat. De scholingsactiviteiten leiden tot vier resultaten.Ten eerste blijven medewerkers, leiding en staf inzetbaar. Ten tweede behoudt de organisatie haar bestaansrecht. Verder blijven er goed opgeleide nieuwe medewerkers komen en tenslotte blijft de doorstroom op peil.",,53.630,,,53.630,100,11.02.2016,01.11.2008,31.10.2009,
Stichting Arbeidsmarkt Ziekenhuizen,Opleidingsplan ESF 2008 Gelre,,ESF,,"Ziekenhuis Gelre is een snel wijzigende organisatie waar medewerkers dus hun vakkennis op peil moeten houden. Met steun van het ESF zijn drie opleidingstrajecten op poten gezet:  vakopleidingen verpleegkunde: opleiding van leerling-verpleegkundigen, verkorte opleiding voor ervaren medewerkers en verschillende specialisaties;  opleiding ICT: training in het gebruik van een nieuwe organisatiebrede applicatie;  bijscholing voor ouderen: opleiding tot zorgco̦rdinator, werkbegeleider, en oncologieverpleegkundige.",,223.160,,,223.160,100,11.02.2016,01.12.2008,30.11.2009,
