Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge 1,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge 1
Andreas Wolf,SaaleBau  ́2009 Ort: Halle,2009,2009," 996,80"," 996,80"
Andreas Wolf,SaaleBau  ́2010 Ort: Halle,2010,2011," 1.282,56"," 1.282,56"
Andreas Wolf,mitteldeutsche handwerksmesse  ́2011 Ort: Leipzig,2011,2016," 0,00"," 0,00"
Andreas Wolter,Erweiterung einer Betriebsstätte,2007,2016," 0,00"," 0,00"
Andreas Wolter,Organisationsoptimierung,2010,2011," 7.200,00"," 7.200,00"
Andree Hentschke,Risikomanagement/Fachkräftesicherung,2014,2014," 3.300,00"," 3.300,00"
Andree Kuschel,Erweiterung einer Betriebsstätte,2008,2013," 94.123,03"," 94.123,03"
Andree Kuschel,Risikomanagement,2008,2016," 0,00"," 0,00"
Andree Kuschel,Risikomanagement,2010,2011," 9.000,00"," 9.000,00"
Andy Vaupel,Unternehmensnachfolge,2010,2011," 2.400,00"," 2.400,00"
Andy Vaupel,Unternehmensnachfolge,2010,2010," 4.800,00"," 4.800,00"
Anett Falz,Marketing,2011,2013," 2.677,00"," 2.677,00"
Angaris GmbH,Organisationsoptimierung,2010,2010," 7.200,00"," 7.200,00"
Angaris GmbH,Stärkung des Innovationspotentials,2008,2009," 3.600,00"," 3.600,00"
Angela Böhme,HAUS-GARTEN-FREIZEIT  ́2012 Ort: Leipzig,2012,2013," 546,54"," 546,54"
Anhaltische Diakonissenanstalt,"Ersatzneubau der Kindertagesstätte der Anhaltischen
Diakonissenanstalt Dessau, Oechelhäuser Str. 19, 06846
Dessau-Roßlau",2011,2015," 822.430,00"," 822.430,00"
Anita Müller,Organisationsoptimierung,2010,2011," 1.800,00"," 1.800,00"
Anix GmbH,Außenwirtschaft,2010,2011," 7.800,00"," 7.800,00"
Anix GmbH,"Deutscher Straßen- und Verkehrskongress '2014 Ort:
Stuttgart",2014,2015," 3.406,33"," 3.406,33"
Anja Lehmann,Risikomanagement,2010,2016," 0,00"," 0,00"
"Anke Münzner e.K. Hotel Schöne
Aussich",Risikomanagement,2008,2010," 3.600,00"," 3.600,00"
"Anlagen- und Formstückbau OT
Pretzsch",WASSER BERLIN INTERNATIONAL '2011 Ort: Berlin,2011,2012," 4.171,54"," 4.171,54"
"Anlagen- und Formstückbau OT
Pretzsch",WASSER BERLIN  ́2009 Ort: Berlin,2009,2009," 4.097,70"," 4.097,70"
Anlagenbau Sandersleben GmbH,Erweiterung einer Betriebsstätte,2014,2015," 269.568,50"," 269.568,50"
Anlagenbau Sandersleben GmbH,Erweiterung einer Betriebsstätte,2008,2012," 1.131.400,00"," 1.131.400,00"
Anna Helm,Frankfurter Buchmesse '2013 Ort: Frankfurt,2013,2013," 793,60"," 793,60"
Annaburg Porzellan GmbH,GÄSTE  ́2009 Ort: Leipzig,2009,2010," 3.708,27"," 3.708,27"
Annaburg Porzellan GmbH,GÄSTE  ́2011 Ort: Leipzig,2011,2012," 2.000,55"," 2.000,55"
Annaburg Porzellan GmbH,INTERGASTRA  ́2010 Ort: Stuttgart,2010,2010," 6.500,00"," 6.500,00"
Annaburg Porzellan GmbH,INTERGASTRA  ́2012 Ort: Stuttgart,2012,2012," 5.055,66"," 5.055,66"
Annaburg Porzellan GmbH,INTERGASTRA  ́2014 Ort: Stuttgart,2014,2014," 6.330,07"," 6.330,07"
Annaburg Porzellan GmbH,INTERNORGA `2011 Ort: Hamburg,2011,2011," 5.529,46"," 5.529,46"
Annaburg Porzellan GmbH,INTERNORGA  ́2013 Ort: Hamburg,2013,2013," 3.479,80"," 3.479,80"
Annaburg Porzellan GmbH,INTERNORGA  ́2015 Ort: Hamburg,2015,2016," 0,00"," 0,00"
Annaburg Porzellan GmbH,PSI  ́2012 Ort: Düsseldorf,2012,2012," 5.504,83"," 5.504,83"
Annaburg Porzellan GmbH,PSI  ́2013 Ort: Düsseldorf,2013,2013," 6.500,00"," 6.500,00"
Annaburg Porzellan GmbH,PSI  ́2014 Ort: Düsseldorf,2014,2014," 6.500,00"," 6.500,00"
Annaburger Nutzfahrzeug GmbH,AGRAMA '2008 Ort: Bern,2008,2016," 0,00"," 0,00"
Annaburger Nutzfahrzeug GmbH,AGRAMA '2010 Ort: Bern,2010,2011," 6.664,36"," 6.664,36"
Annaburger Nutzfahrzeug GmbH,AGRITECHNICA `2011 Ort: Hannover,2011,2013," 0,00"," 0,00"
Annaburger Nutzfahrzeug GmbH,AGRITECHNICA  ́2009 Ort: Hannover,2009,2010," 5.200,00"," 5.200,00"
Annaburger Nutzfahrzeug GmbH,Agra  ́2009 Ort: Leipzig,2009,2010," 5.200,00"," 5.200,00"
Annaburger Nutzfahrzeug GmbH,Agra  ́2011 Ort: Leipzig,2011,2013," 0,00"," 0,00"
Annaburger Nutzfahrzeug GmbH,"Entwicklung und Erprobung einer neuen Generation von
selbsttragenden, rahmenlosen Tankfahrzeugen,
insbesondere geeignet für den Gülletransport",2013,2015," 109.361,13"," 109.361,13"
Annaburger Nutzfahrzeug GmbH,EuroTier '2010 Ort: Hannover,2010,2011," 6.500,00"," 6.500,00"
Annaburger Nutzfahrzeug GmbH,EuroTier `2008                                               Ort: Hannover,2008,2016," 0,00"," 0,00"
Annaburger Nutzfahrzeug GmbH,EuroTier `2012 Ort: Hannover,2012,2016," 0,00"," 0,00"
Annaburger Nutzfahrzeug GmbH,SIMA `2011 Ort: Paris,2011,2013," 0,00"," 0,00"
Annekatrin Schade,Organisationsoptimierung,2007,2008," 3.600,00"," 3.600,00"
AnTeRa Motoren GmbH,REHACARE INTERNATIONAL `2012 Ort: Düsseldorf,2012,2013," 308,58"," 308,58"
Apel Bauelemente GmbH,SaaleBau  ́2012 Ort: Halle,2012,2012," 846,42"," 846,42"
Apel Bauelemente GmbH,SaaleBau  ́2013 Ort: Halle,2013,2013," 1.308,78"," 1.308,78"
Apel Bauelemente GmbH,Thüringen Ausstellung Erfurt  ́2012 Ort: Erfurt,2012,2012," 2.278,53"," 2.278,53"
Apel Bauelemente GmbH,Thüringen Ausstellung Erfurt  ́2013 Ort: Erfurt,2013,2013," 2.397,99"," 2.397,99"
Apel Bauelemente GmbH,mitteldeutsche handwerksmesse  ́2012 Ort: Leipzig,2012,2012," 2.098,48"," 2.098,48"
Apel Bauelemente GmbH,mitteldeutsche handwerksmesse  ́2013 Ort: Leipzig,2013,2013," 2.120,24"," 2.120,24"
"Apotheke am Saigertor Inhaberin Rita
Kriesche e.Kfr.",Organisationsoptimierung,2013,2014," 1.500,00"," 1.500,00"
"Apotheke am Tränketor Falko
Lehmann e.K.",Organisationsoptimierung,2013,2014," 1.800,00"," 1.800,00"
apur.com GmbH,Außenwirtschaftsberatung,2012,2016," 0,00"," 0,00"
Aquabit Limited,Erweiterung einer Betriebsstätte,2007,2009," 7.767,48"," 7.767,48"
Aquyo Cosmetics GmbH,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2008,2016," 0,00"," 0,00"
"Arbeiterwohlfahrt Kreisverband Börde
e.V.","Energetische Sanierung der Kindertagesstätte ""Wawuschel""",2013,2015," 316.941,77"," 316.941,77"
"Arbeiterwohlfahrt Kreisverband
Köthen e.V.","Sanierung der Heizungsanlage ITE/Kita ""Spatzennest"",
Mühlenbreite 51 in 06366
Köthen",2009,2013," 42.854,44"," 42.854,44"
"Arbeiterwohlfahrt Kreisverband
Salzland e.V.","Energetische Sanierung der Kindertagesstätte  ""Haus des
Kindes"" 39240 Calbe (Saale), Neuer Markt 4",2013,," 905.639,35",
"Arbeiterwohlfahrt ||Kreisverband
Wittenberg e.V.","Sanierung und Umbau sowie Erweiterung der
Kindertageseinrichtung ""Micky Maus"", Pestalozzistraße 4 in
06886 Lutherstadt Wittenberg",2011,2015," 542.251,07"," 542.251,07"
"Arcandor AG und Quelle
Communication Center",Erweiterung einer Betriebsstätte,2007,," 0,00",
"ARTE Möbel GmbH, Rocco Esposito
& Timo Heße GbR",Erweiterung einer Betriebsstätte,2008,2011," 23.831,10"," 23.831,10"
"ARTE Möbel GmbH, Rocco Esposito
& Timo Heße GbR",Erweiterung einer Betriebsstätte,2012,," 125.075,88",
arthalber GmbH,Erweiterung einer Betriebsstätte,2009,2011," 61.062,50"," 61.062,50"
arthalber GmbH,Risikomanagement,2009,2010," 9.000,00"," 9.000,00"
Arthaus Musik GmbH,Frankfurter Buchmesse  ́2012 Ort: Frankfurt/Main,2012,2013," 1.777,79"," 1.777,79"
Arthaus Musik GmbH,MIDEM & Midem Net `2012 Ort: Cannes,2012,2016," 0,00"," 0,00"
Arthaus Musik GmbH,MIPCOM  ́2012 Ort: Cannes,2012,2013," 2.041,51"," 2.041,51"
"arwicut Wasserstrahlschneidtechnik
A. R. Wiedau GbR","Entwicklung hochwertiger Werbeträger aus einer
Kombination unterschiedlicher Materialien",2009,2011," 42.040,00"," 42.040,00"
"arwicut Wasserstrahlschneidtechnik
A. R. Wiedau GbR",Organisationsoptimierung,2013,2013," 3.000,00"," 3.000,00"
"arwicut Wasserstrahlschneidtechnik
A. R. Wiedau GbR",Organisationsoptimierung,2009,2010," 9.000,00"," 9.000,00"
"arwicut Wasserstrahlschneidtechnik
A. R. Wiedau GbR",Risikomanagement,2009,2012," 8.400,00"," 8.400,00"
"arwicut Wasserstrahlschneidtechnik
A. R. Wiedau GbR",Stärkung des Innovationspotentials,2014,2014," 1.200,00"," 1.200,00"
"arwicut Wasserstrahlschneidtechnik
A. R. Wiedau GbR",Stärkung des Innovationspotentials,2013,2014," 1.800,00"," 1.800,00"
"arwicut Wasserstrahlschneidtechnik
A. R. Wiedau GbR",Stärkung des Innovationspotentials,2008,2010," 2.400,00"," 2.400,00"
"arwicut Wasserstrahlschneidtechnik
A. R. Wiedau GbR",Stärkung des Innovationspotentials,2008,2010," 3.600,00"," 3.600,00"
"arwicut Wasserstrahlschneidtechnik
A. R. Wiedau GbR",Stärkung des Innovationspotentials,2011,2012," 6.600,00"," 6.600,00"
"AS Dienstleistungs- und Holzf
achbetrieb u. Andreas Schulze",Erweiterung einer Betriebsstätte,2011,," 30.000,00",
ASC Roßlau GmbH,Organisationsoptimierung,2008,2009,"3.600,00 ","3.600,00 "
ASC Roßlau GmbH,Risikomanagement,2008,2008,"3.600,00 ","3.600,00 "
"Ascania-Apotheke, Inhaber: Grit Diron",Organisationsoptimierung,2013,2014,"1.500,00 ","1.500,00 "
Aschersleben,"Bestehornpark - Haus A, SUO-AW",2007,2014,"4.011.195,15 ","4.011.195,15 "
Aschersleben,"Eine-Lauf-Terrassen, Stadtring Gestaltung; 2. BA",2007,2009,"1.027.753,22 ","1.027.753,22 "
Aschersleben,Freianlagen Sportanlagen Bestehornpark Aschersleben,2014,2014,"1.037.328,48 ","1.037.328,48 "
Aschersleben,Freiflächengestaltung Steinbrücke,2014,2014,"269.858,89 ","269.858,89 "
Aschersleben,Innenstadtring - Freiflächengestaltung,2007,2012,"757.868,45 ","757.868,45 "
Aschersleben,Lindenstraße 1 - Sanierungsmaßnahme,2009,2012,"205.110,00 ","205.110,00 "
Aschersleben,Wilhelmstraße 16 - Fassadengestaltung/ Sanierung,2009,2012,"7.953,26 ","7.953,26 "
Aschersleben,Wilhelmstraße 17/ Parkstraße 1 - Fassadengestaltung/Sanierung,2009,2012,"9.700,00 ","9.700,00 "
ASG Engineering GmbH,Stärkung des Innovationspotentials,2010,2011,"7.200,00 ","7.200,00 "
Sangerhausen,Produkte,2008,2009,"76.900,00 ","76.900,00 "
Asteka UG (haftungsbeschränkt),Risikomanagement,2010,2011,"5.400,00 ","5.400,00 "
ASTKA Bauunternehmen GmbH,Organisationsoptimierung,2013,2014,"6.000,00 ","6.000,00 "
ASTKA Bauunternehmen GmbH,Organisationsoptimierung,2009,2010,"6.000,00 ","6.000,00 "
Astrid Scherließ,Stärkung des Innovationspotentials,2009,2010,"5.400,00 ","5.400,00 "
ASV-innovative Chemie GmbH,CHEMSPEC EUROPE `2011 Ort: Genf,2011,2011,"1.867,77 ","1.867,77 "
Klimaanlagen GmbH,Entwicklung eines Solarwärmepumpensystems,2009,2011,"83.556,00 ","83.556,00 "
AURA Metallurgie GmbH & Co.KG,Erweiterung einer Betriebsstätte,2008,2016," 0,00"," 0,00"
AURA Technologie GmbH,Risikomanagement,2010,2011," 6.000,00"," 6.000,00"
AURA Technologie GmbH,Risikomanagement,2009,2010," 12.000,00"," 12.000,00"
"AUTEC Automatisierungstechnik
P.Gottschalk GmbH & Co.KG",Brau Beviale `2011 Ort: Nürnberg,2011,2016," 0,00"," 0,00"
Auto Center Dübner GmbH,Organisationsoptimierung,2012,2014," 3.600,00"," 3.600,00"
Auto Dienst Krug GmbH,Marketing,2014,2015," 3.000,00"," 3.000,00"
Auto Dienst Krug GmbH,Marketing,2010,2011," 9.000,00"," 9.000,00"
Auto Profi Center GmbH,Risikomanagement,2008,2010," 3.600,00"," 3.600,00"
Auto- & Motorradhaus Schmidt GmbH,Organisationsoptimierung,2014,2015," 3.600,00"," 3.600,00"
Auto- & Motorradhaus Schmidt GmbH,Risikomanagement,2014,2015," 2.400,00"," 2.400,00"
Auto- & Motorradhaus Schmidt GmbH,Risikomanagement,2013,2014," 3.600,00"," 3.600,00"
Auto-Service Daniel Homolla GmbH,Organisationsoptimierung,2010,2011," 12.150,00"," 12.150,00"
Auto-Stein Inh. Roland Stein e.K.,Energie- und Umweltberatung,2010,2011," 7.200,00"," 7.200,00"
Autohaus Bergmann GmbH,Risikomanagement,2009,2009," 6.000,00"," 6.000,00"
"Autohaus Dotzauer Inhaber: Reinhard
Dotzauer e.Kfm.",Organisationsoptimierung,2013,2016," 0,00"," 0,00"
"Autohaus Dotzauer Inhaber: Reinhard
Dotzauer e.Kfm.",Risikomanagement,2013,2016," 0,00"," 0,00"
Autohaus Gerd Dietrich,Risikomanagement,2014,2015," 3.600,00"," 3.600,00"
Autohaus Gerd Dietrich,Risikomanagement,2010,2011," 9.000,00"," 9.000,00"
Autohaus Grünhage GmbH & Co. KG,Risikomanagement,2010,2011," 5.400,00"," 5.400,00"
Autohaus Göpel GmbH,Risikomanagement,2013,2016," 0,00"," 0,00"
Autohaus Göpel GmbH,Risikomanagement,2010,2011," 4.800,00"," 4.800,00"
Autohaus Göpel GmbH,Risikomanagement,2009,2010," 6.000,00"," 6.000,00"
"Autohaus Günter Heymer
Hohenthurm e.Kfm.",Unternehmensnachfolge,2013,2014," 3.000,00"," 3.000,00"
"Autohaus Hempel Inhaber Marko
Hempel",Risikomanagement,2009,2016," 0,00"," 0,00"
Autohaus Henke GmbH,Risikomanagement/Fachkräftesicherung,2013,2014," 3.600,00"," 3.600,00"
Autohaus Herbert Kloss GmbH,Risikomanagement,2008,2009," 3.300,00"," 3.300,00"
Autohaus Hoffmann GmbH & Co.KG,Risikomanagement,2009,2010," 2.400,00"," 2.400,00"
Autohaus Hoffmann GmbH & Co.KG,Risikomanagement,2008,2010," 3.600,00"," 3.600,00"
Autohaus Huttenstraße GmbH,Organisationsoptimierung,2008,2009," 6.000,00"," 6.000,00"
Autohaus Italia GmbH,Risikomanagement,2012,2013," 2.400,00"," 2.400,00"
Autohaus Italia GmbH,Risikomanagement,2013,2015," 2.400,00"," 2.400,00"
Autohaus Kloss oHG,Risikomanagement,2008,2009," 3.300,00"," 3.300,00"
Autohaus Manfred Engelmann OHG,Organisationsoptimierung,2010,2011," 9.000,00"," 9.000,00"
Autohaus Nawrath OHG,Organisationsoptimierung,2009,2010," 4.050,00"," 4.050,00"
Autohaus Römermann GmbH,Risikomanagement,2012,2012," 3.000,00"," 3.000,00"
Autohaus Schlesiger GmbH,Risikomanagement,2013,2014," 2.400,00"," 2.400,00"
Autohaus Schlesiger GmbH,Risikomanagement,2010,2011," 3.600,00"," 3.600,00"
Autohaus Schlesiger GmbH,Risikomanagement,2010,2010," 5.400,00"," 5.400,00"
Autohaus Stoye GmbH & Co. KG,Organisationsoptimierung,2007,2008," 3.000,00"," 3.000,00"
Autohaus Wernigerode GmbH,Organisationsoptimierung,2009,2010," 3.600,00"," 3.600,00"
Autohaus Wittenberg GmbH,Risikomanagement,2013,2014," 6.000,00"," 6.000,00"
Autolackiererei Opitz GmbH,Risikomanagement,2008,2016," 0,00"," 0,00"
Autolackierung Löschinger GmbH,Risikomanagement,2013,2014," 1.500,00"," 1.500,00"
Autoland Roßlau Vertriebs GmbH,Organisationsoptimierung,2008,2009," 3.600,00"," 3.600,00"
Autoland Roßlau Vertriebs GmbH,Risikomanagement,2008,2010," 2.400,00"," 2.400,00"
Autoland Roßlau Vertriebs GmbH,Risikomanagement,2007,2010," 3.600,00"," 3.600,00"
Autoland Roßlau Vertriebs GmbH,Unternehmensnachfolge,2014,2015," 3.600,00"," 3.600,00"
"Automatendreherei und Mechanik
GmbH",HANNOVER MESSE `2011 Ort: Hannover,2011,2011," 619,79"," 619,79"
"Automatendreherei und Mechanik
GmbH",HANNOVER MESSE  ́2010 Ort: Hannover,2010,2010," 1.445,20"," 1.445,20"
"Automation, Sonder- und","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2008,2009," 40.000,00"," 40.000,00"
"Automation, Sonder- und","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2012," 72.500,00"," 72.500,00"
"Automation, Sonder- und",Risikomanagement,2012,2013," 3.000,00"," 3.000,00"
"Automation, Sonder- und",Risikomanagement,2010,2011," 6.000,00"," 6.000,00"
"Automation, Sonder- und",Risikomanagement,2008,2009," 6.000,00"," 6.000,00"
"Automation, Sonder- und",Stärkung des Innovationspotentials,2011,2012," 6.000,00"," 6.000,00"
"Automation, Sonder- und",Unternehmensnachfolge,2012,2013," 1.500,00"," 1.500,00"
"Automation, Sonder- und",Unternehmensnachfolge,2011,2012," 4.500,00"," 4.500,00"
Autopark Roßlau GmbH & Co.KG,Risikomanagement,2010,2012," 8.400,00"," 8.400,00"
"AVA - Anhaltinische Verfahrens- und
Anlagentechnik GmbH",Außenwirtschaftsberatung,2007,2008," 3.600,00"," 3.600,00"
"AVA - Anhaltinische Verfahrens- und
Anlagentechnik GmbH","Entwicklung einer Anlage und eines Verfahrens zur
Herstellung hoch reiner Wirkstoffe",2008,2009," 44.664,00"," 44.664,00"
"AVA - Anhaltinische Verfahrens- und
Anlagentechnik GmbH",ITF - International Technical Fair `2011 Ort: Plovdiv,2011,2012," 1.713,65"," 1.713,65"
"AVA - Anhaltinische Verfahrens- und
Anlagentechnik GmbH","Inline-Partikelmesssystem in Sondenform zur Analyse von
Partikelformen und -größen in dispersen
Mehrphasensystemen (Partikelsonde)",2013,2014," 55.125,00"," 55.125,00"
"AVA - Anhaltinische Verfahrens- und
Anlagentechnik GmbH",Organisationsoptimierung,2010,2011," 7.200,00"," 7.200,00"
"AVA - Anhaltinische Verfahrens- und
Anlagentechnik GmbH","Wissens- und Technologietransfer vierfach exzentrische
Klappe",2011,2012," 52.875,00"," 52.875,00"
avado Data UdL GbR,MEN,2009,2011," 67.852,50"," 67.852,50"
AVD CNC-Blechverarbeitung GmbH,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2013," 119.631,80"," 119.631,80"
AVD CNC-Blechverarbeitung GmbH,Risikomanagement,2012,2013," 3.600,00"," 3.600,00"
Avecio produktion GmbH,"Wissenstransfer zur Entwicklung eines innovativen
Schließsystems für hochpreisige Lederwaren",2012,2016," 0,00"," 0,00"
Avicare+ GbR,"Entwicklung eines neuartigen bestandsspezifischen
Impfstoffs für Geflügel",2013,2015," 139.037,60"," 139.037,60"
AVT Abwicklungsgesellschaft mbH,Stärkung des Innovationspotentials,2008,2010," 2.400,00"," 2.400,00"
AVT Abwicklungsgesellschaft mbH,Stärkung des Innovationspotentials,2007,2010," 3.600,00"," 3.600,00"
"awab Umformtechnik und
Präzisionsmechanik GmbH","Entwicklung neuartiger Drückwerkzeuge und einer neuen
Prozesstechnologie zum Drücken rührreibgeschweißter
Rohre aus Aluminiumlegierungen",2012,2014," 217.033,46"," 217.033,46"
"awab Umformtechnik und
Präzisionsmechanik GmbH",HANNOVER MESSE  ́2009 Ort: Hannover,2009,2009," 3.344,97"," 3.344,97"
"awab Umformtechnik und
Präzisionsmechanik GmbH",HANNOVER MESSE  ́2012 Ort: Hannover,2012,2012," 3.498,39"," 3.498,39"
"awab Umformtechnik und
Präzisionsmechanik GmbH",HANNOVER MESSE  ́2013 Ort: Hannover,2013,2013," 3.321,85"," 3.321,85"
"awab Umformtechnik und
Präzisionsmechanik GmbH",HANNOVER MESSE  ́2014 Ort: Hannover,2014,2015," 3.417,15"," 3.417,15"
"AWO Regionalverband Halle-
Merseburg e.V.","Neubau der Kindertagesstätte ""Bummi"", Harzgerode Straße
47, 06124 Halle (Saale)",2010,2015," 1.514.027,07"," 1.514.027,07"
"AWO Regionalverband Halle-
Merseburg e.V.","Sanierung der Kindertagesstätte ""Zwergenhaus"", Wettiner
Str. 5 in 06132 Halle (Saale)",2012,2015," 2.034.671,29"," 2.034.671,29"
AWS Achslagerwerk Staßfurt GmbH,InnoTrans `2008                                              Ort: Berlin,2008,2009," 5.200,00"," 5.200,00"
AWS Achslagerwerk Staßfurt GmbH,Organisationsoptimierung,2007,2007," 3.600,00"," 3.600,00"
AWS Power GmbH,Errichtung einer Betriebsstätte,2009,2015," 209.983,32"," 209.983,32"
"AWS-Wachschutz Stendal OHG, Wolf",Organisationsoptimierung,2009,2010," 3.000,00"," 3.000,00"
Axel Finke e. K.,Außenwirtschaftsberatung,2007,2007," 6.000,00"," 6.000,00"
Axel Reinicke,Marketing,2008,2008," 3.600,00"," 3.600,00"
AZV Aken,"Ortsnetz Aken, Ost 2. BA Los 2, Susigker Straße",2011,2012," 116.911,22"," 116.911,22"
AZV Aken,"Schmutzwasserentsorgung Stadt Aken, Burgstraße zwischen
Elbstraße und Poststraße
Markt (vom Schacht S5 bis zum Schacht S1 im
Kreuzungsbereich der Burgstraße)
Burgstraße (vom Schacht S4 bis zum vorhandenen Schacht)
- 180 m Freigefällekanal DN 200
- 5 SSchacht S18.3)
- 159 m Freigefällekanal DN 200
-     3 Stück Schächte",2010,2013," 69.845,06"," 69.845,06"
AZV Aller - Ohre,"Schmutzwasserableitung Altenhausen "" Am Teich ""
Straße Am Teich von Schacht A bis Schacht E
- 171 m Steinzeugrohr DN 200
-     5 Stück Schächte",2009,2011," 66.585,09"," 66.585,09"
AZV Aller - Ohre,"Schmutzwasserableitung Bebertal 6. BA
Am Thie                         von S52S7680316 bis S52S7630
Zur Zollstange (K1156)  von S52S7650 bis S52S7620
Am Sportplatz/Waldsiedlung von S52S6060 bis Anschluss an
PW52PW60;",2009,2011," 643.649,85"," 643.649,85"
AZV Aller - Ohre,"Schmutzwasserableitung Emden 4. BA
Sammler 2 (Schlossstraße) von S 70b bis Anschluss an vorh.
S 70 (in Sammler 1)
Sammler 5 (an der Beber) von S 82 bis Anschluss an vorh. S
60 (in Sammler 1)
Sammler 6 von S 79 bis Anschluss an vorh. S 67 (in
Sammler 1)",2009,2011," 79.954,50"," 79.954,50"
AZV Aller - Ohre,"Schmutzwasserableitung Ivenrode 5. BA
Altenhäuser Straße S12 - S40 - S42
Haldenslebener Straße S42 - S4 - S25 - Svorh., S26 - S50 -
S52
Krumme Reihe S5 - S31 - S36
- 440,31 m Steinzeugrohr DN 200
-      14 Stück Schächte",2009,2010," 178.264,61"," 178.264,61"
AZV Aller - Ohre,"Schmutzwasserableitung Tundersleben 2. BA
(Resterschließung)
Bundesstraße B 1 von S 14 / S 17 bis Anschluss an vorh. S
21200080 (in B 1)
Stichweg (1) von S 15 bis Anschluss an S 17 (in B 1)
Stichweg (2) von S 21 bis Anschluss an S 23 (in B 1)
Nebenstr",2009,2010," 235.837,64"," 235.837,64"
AZV Eisleben - Süßer See,"Erweiterung der Kläranlage Rollsdorf, 2. Teil,
Schlammbehandlungsanlage
- Schlammsilo und 1 Entwässerungszentrifuge
- Voreindicker
- Gebäude Schlammeindickung
- Photoionisation
- Prozessabwasserspeicher
- Schlammspeicher
- Faulbehälter mit Maschine",2009,2013," 8.558.840,54"," 8.558.840,54"
AZV Eisleben - Süßer See,"Schmutzwasserkanalisation Helbra, L 225 mit Parkstraße,
Am Hövelschacht, Am Brückberg
Parkstraße: S 866 - S 872vorh.
Am Brückberg: S 1516 - S 24035017vorh.
Am Hövelschacht: Druckleitung vom Pumpwerk bis
Druckentspannungsschacht (DE); DE - S 23032006v",2013,2015," 250.544,29"," 250.544,29"
AZV Eisleben - Süßer See,"Schmutzwasserkanalisation Lutherstadt Eisleben
Gerbstedter Str., Oberhütte, Seniorenheim
- 460 m Schmutzwasserleitung DN 200, 13 Schächte
- 752 m Druckleitung DN 50 PE-HD mit Druckrohrspülanlage
und 6 PumpstationenHallesche Straße:     SW 92 - SW 92.5;
Goethestraße:SW 144 - SW 151 vorh.;
Nonnensteg:SW 145 - SW 146;
Klausstraße:SW 108 - S",2011,2012," 444.212,81"," 444.212,81"
AZV Eisleben - Süßer See,"Schmutzwasserkanalisation Lutherstadt Eisleben,
Druckleitung Strohhügel
Haltungen:S 2991024-Druckleitung PW Strohhügel- S
21211001b-Pumpwerk Federmarkt
- 13 m Schmutzwasserleitung DN 200
- 1 Stück Druckentspannungsschacht 21211001b
- 2 Stück Sc",2013,2015," 728.208,25"," 728.208,25"
AZV Eisleben - Süßer See,"Schmutzwasserkanalisation Lutherstadt Eisleben, Ortsteil
Helfta, 8. BA, Dachsoldstraße, Angerstraße, Maststraße,
Teichstraße
Dachsoldsstraße: 0123310020 - 0109310090
Teichstraße: 0109310090 - 0109310010
Maststraße: 0108210010 - 0109310060
AngerstraßRB7 0101310070
RB8 0101310080
RB9 0",2013,2015," 262.648,56"," 262.648,56"
