Name des Begünstigten ,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens ,Beginn des Vor-habens ,Ende des Vor-habens ,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens ,Unions-Kofinan- zierungssatz  pro Prioritäts-achse  ,Postleitzahl des Vorhabens ,Land ,Bezeichnung der Interventionskategorie
AWT Akademie für Wirtschaft und Technologie GmbH Zweigniederlassung Leinefelde-Worbis,KOMPASS - Kompetenzen und Potenziale stärken (TIZIAN 4),"Nachhaltige Verbesserung und Wiederherstellung der Beschäftigungsfähigkeit von durchschnittlich 15Teilnehmern aus Bedarfsgemeinschaften der Region Eichsfeld auf der Grundlage von ganzheitlichen Betreuungsangeboten. Vorrangig sollen Alleinerziehende durch das Projekt in die Lage versetzt werden, die gleichen Chancen auf dem Arbeitsmarkt wie gemeinsam Erziehende zu erhalten.",01.01.2015,31.12.2017,"253.165,99",80.00%,37327 Leinefelde-Worbis,DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
AWT Akademie für Wirtschaft und Technologie GmbH Zweigniederlassung Leinefelde-Worbis,NetzWerk - Aktivierungs- und Beratungsprojekt für Personen mit psychosozialen Belastungen,"Zielsetzung:  Menschen in manifestierten Problemsituationen (psychische Erkrankungen, Suchtprobleme, Schuldenprobleme) durch Entwicklung und Umsetzung individueller Strategien begleiten und erste Wege bereiten, ihre vielfältigen Problemlagen zu lösen und zu einer besseren sozialen und beruflichen Teilhabe und zu einer Gesundheitsstabilisierung zu gelangen. Sie sollen individuelle Strategien zur Armutsbekämpfung einschließlich ihrer materiellen Armut mit Unterstützung des Projektträgers und des aufzubauenden Netzwerks entwickeln. Um eine Nachhaltigkeit der erreichten und noch möglichen weiteren Ziele zu gewährleisten, werden von Beginn der Zusammenarbeit regionale Netzwerkstrukturen wie auch die Unterstützungsangebote z.B. aus den Bereichen SGB II, SGB III und SGB V eingebunden und genutzt (u.a. auch Krankenhäuser und deren psychiatrische Abteilungen, Therapieeinrichtungen, Suchthilfezentren, Schuldnerberatung etc.).     Zielgruppe:   Erwerbsfähige Hilfebedürftige,  • Die Leistungen nach dem SGB II beziehen, länger als 12 Monate arbeitslos sind oder bei denen aufgrund schwerwiegender Vermittlungshemmnisse eine Heranführung an die Erwerbstätigkeit in weniger als 12 Monaten unwahrscheinlich ist.  • Die vorbeschriebenen Teilnehmer weisen aufgrund ihrer multiplen persönlichen und sozialen Problemlagen die Profillagen „Stabilisierungsprofil“ oder „Unterstützungsprofil“ (gemäß dem arbeitnehmerorientierten Integrationskonzept der Bundesagentur für Arbeit) auf.   • Vorrangig zugewiesen werden im Landkreis Eichsfeld  o Personen mit Suchtproblematik  o Personen mit Schuldenproblematik  o Personen mit psychischen Problemlagen",01.06.2016,31.12.2018,"299.588,11",80.00%,37327 Leinefelde-Worbis,DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
AWT Akademie für Wirtschaft und Technologie GmbH Zweigniederlassung Leinefelde-Worbis,Berufliche Fortbildung für Langzeitarbeitslose - Fachkraft Office-Management und Pflege- und Betreuungsassistent,"Zielgruppe  Zielgruppe für dieses Projekt sind arbeitslose Personen im Hilfebezug. Das Alter, das Geschlecht und der Familienstand der Personen sind für die Teilnahme nicht relevant. Die Teilnehmer weisen ein Qualifizierungsdefizit bzw. mangelnde Berufspraxis auf.   Desweiteren bestehen zusätzliche Vermittlungseinschränkungen im persönlichen Bereich.  Die Auswahl und die Zuweisung der Teilnehmer erfolgt über das Grundsichtungsamt Eichsfeld.     Ziele des Projektes  Vermittlung von arbeitsmarktrelevanten Kenntnissen und   Fertigkeiten in zwei verschiedenen Tätigkeitsbereichen   (A: kaufmännisch/verwaltenden Bereich; B: Pflege/Betreuung)  • Bearbeitung von weiteren Vermittlungshemmnissen  • Wiederherstellung der Beschäftigungsfähigkeit und/oder   Integration in den ersten Arbeitsmarkt    Qualifizierungsinhalte  Die Inhalte beruhen auf der Grundlage unserer Erfahrungen in der Aus- und Fortbildung in diesen Arbeitsbereichen. Sie entsprechen weiterhin den jeweiligen Rahmenstoffplänen der IHK-Erfurt.    Abschluss  Modul A: IHK-Fachkraft Office Management  Modul B: IHK-Fachkraft für Gesundheits- und Sozialdienstleistungen    Weitere Rahmenbedingungen Sozialpädagogische Betreuung und Begleitung der Teilnehmer  Lernberatung  Begleitende Bewerbungsberatung/Bewerbungscoaching  Vermittlungsunterstützung für Praktikum und Arbeitsmarkt",23.05.2016,21.12.2016,"112.153,82",80.00%,37327 Leinefelde-Worbis,DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
AWT Akademie für Wirtschaft und Technologie GmbH Zweigniederlassung Mühlhausen,KLEEBLATT - das Familienprojekt im Unstrut-Hainich-Kreis (TIZIAN 4),"Nachhaltige Verbesserung und Wiederherstellung der Beschäftigungsfähigkeit von durchschnittlich 11 Teilnehmern aus Bedarfsgemeinschaften der Region Unstrut-Hainich-Kreis auf der Grundlage von ganzheitlichen Betreuungsangeboten. Vorrangig sollen Alleinerziehende durch das Projekt in die Lage versetzt werden, die gleichen Chancen auf dem Arbeitsmarkt wie gemeinsam Erziehende zu erhalten.",01.01.2015,31.12.2017,"183.631,71",80.00%,99974 Mühlhausen/Thüringen,DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
AWT Akademie für Wirtschaft und Technologie GmbH Zweigniederlassung Mühlhausen,ausblick - individuelle Integrationsbegleitung im Unstrut-Hainich-Kreis,"Die Trägerkooperation, bestehend aus der AWT Akademie für Wirtschaft und Technologie GmbH, der Berufsfortbildungswerk GmbH, dem Bildungswerk der Thüringer Wirtschaft e.V., dem Bildungszentrum Handel/Gewerbe/Freie Berufe e.V. sowie dem Landratsamt UHK setzt seit 2010 das Integrationsprojekt ausblick im Unstrut-Hainich-Kreis sehr erfolgreich um.     Das Projekt hat das Ziel, die Teilnehmer durch eine individuelle, stärken- und vertrauensbasierte Begleitung und Unterstützung auf eine Integration in den Arbeitsmarkt vorzubereiten. Das Aufgabenspektrum umfasst vor allem die Förderung der Wiederherstellung, den Erhalt sowie die Verbesserung der Beschäftigungsfähigkeit und die Integration in Arbeit, in arbeitsmarktpolitische Maßnahmen, Schule/Ausbildung, in den zweiten Arbeitsmarkt oder Qualifizierungsmaßnahmen. Die individuelle bedarfsgerechte Unterstützung, Beratung, Betreuung, Begleitung sowie Initiierung und Pflege von Integrationsnetzwerken unter Einbeziehung der bestehenden Angebote in der Region sind dafür wichtige Bestandteile.     Die Projektpartner stellen sich dem gesetzten Ziel, mindestens 33% aller TN in den 1. Arbeitsmarkt bzw. in Ausbildung zu integrieren. Bei mindestens 86% der Teilnehmer wird eine Verbesserung ihrer beruflichen oder persönlich-sozialen Situation angestrebt.",01.01.2015,31.12.2016,"132.512,80",80.00%,99974 Mühlhausen/Thüringen,DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
Active Fiber Systems GmbH,Entwicklung eines hochrepetierenden few-cycle Lasersystems,Innovatives Personal,01.06.2015,31.05.2017,"72.000,00",80.00%,07745 Jena,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
Adam Opel AG Werk Eisenach,EcoScreen 3D-Onsite,"Die Firma Dürr Systems bietet seinen Kunden ein großes Angebot an Produkten, Systemen und Dienstleistungen an. Dürr ist der weltweit führende Anbieter von Großserienlackierereien für Automobilhersteller und- Zulieferer. Sie planen und bauen Lackierereien sowie Endmontagewerke.     Die Mitarbeiter sollen in den Kurs „Parametrier- und Programmiersoftware EcoScreen 3D-OnSite“ geschult werden.  Das Ziel des Projektes ist es, die Mitarbeiter mit den erforderlichen Kenntnissen im Umgang mit den neuen zusätzlichen Robotersystemen in dem Bereich der  Lackiertechnik adäquat  auszustatten.  Der Teilnehmer ist nach diesem Kurs in der Lage  EcoScreen 3D-OnSite einzurichten, Roboterprogramme in EcoScreen 3D-OnSite zu bearbeiten und neue Brush-Tabellen anzulegen bzw. bestehende Brush-Tabellen zu verändern.    Das 3-tägige Training richtet sich speziell an die Instandhalter und Anlagenbediener im Bereich Lackiererei, die noch nicht mit EcoScreen 3D-OnSite vertraut sind. Der Kurs ist mit 8 Teilnehmern besetzt und wird am 04.11. – 06.11.2015 durchgeführt. Schulungsort ist ein dafür vorgesehener Raum auf dem Gelände des Opel Eisenach Werkes.",04.11.2015,06.11.2015,"4.972,80",80.00%,"99817 Eisenach, Thür",DE,"Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen Rahmen, Steigerung des Wissens sowie der Fähigkeiten und Kompetenzen der Arbeitskräfte sowie die Förderung flexibler Bildungswege, unter anderem durch Berufsberatung und die Bestätigung erworbener Kompetenzen"
Adam Opel AG Werk Eisenach,SIMATIC S7,"SIMATIC ist ein Produktname der Firma Siemens und ist die weltweite Nummer eins in der Automatisierungstechnik, sowie das Kernstück von Totally Integrated Automation.     Im Grundkurs SIMATIC S7 werden Grundkenntnisse über den Aufbau von Automatisierungssystem, deren Konfiguration und Parametrierung vermittelt. Unsere neuen Mitarbeiter sollen das Handling der STEP 7 Basissoftware sowie Grundkenntnisse des HMI-Systems WinCC flxxible erlernen.  Durch zahlreiche praktische Übungen an einem Anlagenmodell können die theoretisch erlernten Kenntnisse vertieft werden.  Das Ziel dieser Schulung ist, dass sie einfache S7 Programme erstellen und Progrmmänderungen durchführen können sowie einfache Fehler sicher diagnostizieren und beheben können.    Das 5-tägige Training wird für 2 Mitarbeiter voraussichtlich in der KW47 in den Räumlichkeiten der Grollmus GmbH in Halle stattfinden.",16.11.2015,20.11.2015,"2.072,00",80.00%,06116 Halle(Saale),DE,"Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen Rahmen, Steigerung des Wissens sowie der Fähigkeiten und Kompetenzen der Arbeitskräfte sowie die Förderung flexibler Bildungswege, unter anderem durch Berufsberatung und die Bestätigung erworbener Kompetenzen"
Adam Opel AG Werk Eisenach,FANUC,"FANUC Robotics bietet weltweit seinen Kunden ein aus dem Bedarf der Anwender heraus entwickeltes Portfolio von Robotern für alle Bereiche der Industrie. Dazu zählen auch offene Steuerungs- und Software-Systeme, die sich im betrieblichen Alltag weltweit als leistungsfähig und höchst zuverlässig erwiesen haben.      Die Schulungskurse der FANUC Akademie werden in kleinen Gruppen von zertifizierten Ausbildern gehalten. Die Kurse finden in realen Produktionsumgebungen mit modernsten Maschinen und moderner Steuerungstechnologie statt. Für die Schulung steht pro Teilnehmer ein komplett ausgestatteter Roboter bzw. eine Maschine zur Verfügung.    Das Training „FANUC“ bietet den Mitarbeitern die erforderlichen Kenntnisse im Umgang mit der neuen Robotergeneration in den Schweißeinrichtungen. Die jeweils 8 Mitarbeiter werden in dem Kurs „Fehlersuche“ (KW 47) sowie dem Kurs „Bedienen und Programmieren Spot Tool“ geschult.     Ziel der Kurse sind   - Selbstständig den Roboter nach der Reparatur wieder in Betrieb zu nehmen  - Roboterprogramme selbstständig zu erstellen    Der Lehrgangsort ist ein Schulungszentrum in  Neuhaus a.d.Fildern, nur dort ist die für die Schulung erforderliche Ausrüstung in kompletten Umfang vorhanden.",16.11.2015,27.11.2015,"14.089,60",80.00%,73765 Neuhausenauf den Fildern,DE,"Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen Rahmen, Steigerung des Wissens sowie der Fähigkeiten und Kompetenzen der Arbeitskräfte sowie die Förderung flexibler Bildungswege, unter anderem durch Berufsberatung und die Bestätigung erworbener Kompetenzen"
Adam Opel AG Werk Eisenach,Steuerungstechnik für Instandhalter,"Die Firma SEW-EURODRIVE ist weltweiter Marktführer in der Branche der Antriebsautomatisierung. Sie entwickeln und stellen Produkte für die Automobilindustrie, Transport- und Logistikindustrie und Getränkeindustrie her. In der Automobilindustrie werden die Produkte unter anderem in der Fördertechnik, Fahrerlose Transportsysteme, Schubskid-Anlagen und Elektrohängebahnen genutzt.    Die Mitarbeiter sollen in dem Kurs „MOVIDRIVE Kompaktseminar“ sowie MOVIPRO SDC/ADC – Bedienung, Inbetriebnahme und Störungsbehebung“  geschult werden. Beide Schulungen finden im Schulungszentrum SEW Eurodrive in Bruchsal statt. Nur dort ist die für die Schulung erforderliche Ausrüstung in kompletten Umfang vorhanden.  Die Schulung MOVIDRIVE wird vom 08.12. – 10.12.2015 mit zwei Mitarbeiter und die Schulung MOVIPRO wird am 18.11.2015 mit 3 Mitarbeitern stattfinden.     Die Kursteilnehmer erhalten einen Gesamtüberblick über die Grundfunktionalität und die Diagnosemöglichkeiten des MOVIPRO SDC / ADC und MOVIDRIVE.  Ziel des Kurses MOVIPRO SDC/ADC ist, dass die Teilnehmer nach Kursende die verschiedenen Betriebsarten in Betrieb nehmen können, den Aufbau sowie die Anschlüsse des Gerätes kennen, einen Gerätetausch durchführen und Fehler diagnostizieren und beheben können.  Ziel des Kurses MOVIDRIVE ist, dass die Teilnehmer den Umrichter in verschiedenen Betriebsarten in Betrieb nehmen sowie den Umrichter für unterschiedliche Anwendungen parametrieren können, Desweiteren sollen sie Fehler diagnostizieren und beheben, einen Umrichtertausch durchführen und die Feldbuskommunikation vorbereiten und diagnostizieren können.",18.11.2015,10.12.2015,"1.864,80",80.00%,76642 Bruchsal,DE,"Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen Rahmen, Steigerung des Wissens sowie der Fähigkeiten und Kompetenzen der Arbeitskräfte sowie die Förderung flexibler Bildungswege, unter anderem durch Berufsberatung und die Bestätigung erworbener Kompetenzen"
Adam Opel AG Werk Eisenach,Share Point 2013,"Mit dem Ziel den Mitarbeitern einen sicheren Umgang bei der Anwendung SharePoint 2013 zu ermöglichen, findet im Schulungszentrum der Firma IAD Erfurt vom 25.04.2016 bis 29.04.2016 eine Schulung hierzu statt. Diese erfolgt in zwei Kursen zu jeweils acht Teilnehmern.",25.04.2016,29.04.2016,"5.600,00",80.00%,99084 Erfurt,DE,"Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen Rahmen, Steigerung des Wissens sowie der Fähigkeiten und Kompetenzen der Arbeitskräfte sowie die Förderung flexibler Bildungswege, unter anderem durch Berufsberatung und die Bestätigung erworbener Kompetenzen"
Adam Opel AG Werk Eisenach,Grundkurs SIMATIC S7,"Das Ziel dieser Schulung ist, dass der Mitarbeiter einfache S7 Programme erstellen und Programmänderungen durchführen sowie einfache Fehler sicher diagnostizieren und beheben kann. Das 5-tägige Training wird voraussichtlich in der KW 10 in den Räumlichkeiten der Grollmus GmbH in Halle stattfinden.",07.03.2016,11.03.2016,"1.036,00",80.00%,06116 Halle(Saale),DE,"Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen Rahmen, Steigerung des Wissens sowie der Fähigkeiten und Kompetenzen der Arbeitskräfte sowie die Förderung flexibler Bildungswege, unter anderem durch Berufsberatung und die Bestätigung erworbener Kompetenzen"
Adam Opel AG Werk Eisenach,Servicekurs 1 SIMATIC S7,"SIMATIC ist ein Produktname der Firma Siemens und ist die weltweite Nummer eins in der Automatisierungstechnik, sowie das Kernstück von Totally Integrated Automation. Grollmus ist ein Schulungszentrum ausschließlich für das Automatisierungssystem SIMATIC.     Im Servicekurs 1 SIMATIC S7 werden die im Grundkurs SIMATIC S7 erworbenen Kenntnisse vertieft und das Wissen im Bereich Fehleranalyse erweitert.  Praktische Übungen zur Störungsbehebung und kleine Programmänderungen stehen im Mittelpunkt dieses Kurses.  Durch zahlreiche praktische Übungen an einem Anlagenmodell können die theoretisch erlernten Kenntnisse vertieft werden.  Das Ziel dieser Schulung ist, dass die Mitarbeiter Fehler gezielt auffinden und beheben können. Durch kleine Programmänderungen und Programm-erweiterungen können die Anlagen an neue Bedingungen angepasst werden.    Das 5-tägige Training wird voraussichtlich in der KW15 in den Räumlichkeiten der Grollmus GmbH in Leipzig stattfinden.    Grollmus hat das nötige Wissen und die Qualifikation, die Mitarbeiter entsprechend und ausreichend zu schulen.  Die zielgerichteten und praxisorientierten Schulungskurse sind  allgemeine Ausbildungsmaßnahmen. Das erlangte Wissen können die Schulungsteilnehmer in jeder Firma anwenden wo diese Steuerungssysteme eingesetzt werden.",11.04.2016,15.04.2016,"2.072,00",80.00%,04347 Leipzig,DE,"Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen Rahmen, Steigerung des Wissens sowie der Fähigkeiten und Kompetenzen der Arbeitskräfte sowie die Förderung flexibler Bildungswege, unter anderem durch Berufsberatung und die Bestätigung erworbener Kompetenzen"
