projekttitel,start_dato,slut_dato,ordning,Indsatsområde,budget,eu,tas_projekt_besk,region,cvr,navn,vejnavn,postnr,bynavn,parter,
Specialiseret rådgivning for vækstiværksættere. Delprojekt D: Iværksætternetværk,01.01.2008,28.02.2011,ERDFM,Etab. og udvikling af nye virksomh.,"658935,69","329467,85","Se beskrivelse under ""Specialiseret rådgivning for vækstiværksættere. Delprojekt A: Administration og projektledelse""",Midtjylland,30089456,Væksthus Midtjylland,Åbogade 15,8200,Århus N,,
Udviklingsplatform i Region Midtjylland for virksomhedernes sociale engagement og et rummeligt arbejdsmarked,01.11.2007,02.04.2009,ESFM,Udvikling af menneskelige ressourcer,"730049,66","365024,83","Formålet med projektet er at undersøge forudsætningerne for etablering af en Udviklingsplatform for virksomhedernes sociale engagement og et rummeligt arbejdsmarked med det formål at fastholde, udvide og udvikle arbejdsstyrken som forudsætning for den regionale vækst og velfærd.Dette vil ske i et samarbejde mellem lokale netværk og aktører, som arbejder med gensidigt forpligtende partnerskab mellem virksomhederne og de beskæftigelsespolitiske aktører. Arbejdet skal gå på tværs af regionen, og der arbejdes ud fra en fælles forståelse for, at en kommende Udviklingsplatform i videst muligt omfang skal basere sig på det eksisterende og arbejde udviklingsorienteret i et virksomhedsrettet aktørnetværk under mottoet ""udvikling regionalt - forandring lokalt""!Forprojektet skal:Afdække, hvordan der aktuelt arbejdes med virksomhedernes sociale engagement og et rummeligt arbejdsmarked i regionen. Afdække behovet er for en Udviklingsplatform som beskrevet ovenfor.Udvikle en model for, hvordan en sådan platform kan arbejde (mission og metode) og for platformens organisering og finansiering. Skabe ejerskab for en sådan model.Skaffe midler til etableringen af en egentlig Udviklingsplatform.Initiativgruppen bag forprojektet udgøres af Herning Kommune, Ikast-Brande Kommune, Holstebro Kommune, Viborg Kommune, Det Midtjyske Netværk for virksomhederns sociale engagement, LO Herning-Ikast, DA og Beskæftigelsesregion Midtjylland. Projektet er forankret i Projekt Partnerskab med Herning Kommune som ansøgermyndighed.",Midtjylland,29189919,Herning Kommune,Torvet 5,7400,Herning,,
Specialiseret rådgivning for vækstiværksættere. Delprojekt E: Bo hos en virksomhed,01.01.2008,28.02.2011,ERDFM,Etab. og udvikling af nye virksomh.,"783799,78","229103,78","Se beskrivelse under ""Specialiseret rådgivning for vækstiværksættere. Delprojekt A: Administration og projektledelse""",Midtjylland,30089456,Væksthus Midtjylland,Åbogade 15,8200,Århus N,,
Bornholms A/S - Innovation produkter,02.11.2009,31.12.2011,ERDFB,Innovation og videndeling,"789538,29","318230,69","Bornholms A/S er en mere end 94 årig konservesfabrik, som har udarbejdet en ny vækststrategi bl.a. omhandlende ny produkt- og emballagestrategi, som skal medvirke til at fremtidssikre virksomheden indenfor fødevarebranchen, samt styrke dens internationale konkurrenceevne og lønsomhed.Dette er blandt sket i en dialog med markedet.I dag pakkes og leveres produkterne i konservesdåser og glas. Der skal udvikles nye emballage typer. Virksomheden skal IFS (International Food Standard) og BRC (British Retail Consortium - kræver supermarkedskæderne i England) certificeres, og dermed leve op til fremtidens markeds- og kundekrav. En mindre del af de producerede produkter leveres igennem food service, men i fremtiden skal vi også kunne levere til storkøkkener, kantiner og catering, og dermed en meget større del til food service området. Dette kræver også autorisation til kølevarer. Gennemførelse af dette projektforløb kræver, at virksomheden tilegner sig den nødvendige know how, bl.a. gennem køb af ekstern bistand m.m. Gennemførelsen af dette projektforløb er afgørende for realiseringen af virksomhedens vækst- og markedstrategi.Denne ansøgning omfatter produktudvikling (produkter og emballage) og innovation.Der fremsendes samtidig ansøgning om medfinansiering af investeringer til bygningsmæssige ændringer - se anden ansøgning.",Bornholm,15150505,Bornholms A/S,Stenbrudsvej 35,3730,Nexø,,
Anvendelse af ny teknologi i turistinformation,01.09.2008,30.09.2009,ERDFB,Anvendelse af ny teknologi,"805828,39","402914,2","Projektets mål er at tilbyde Bornholms turister spændende, anderledes turistinformation formidlet på en ny måde gennem ny teknologi - GPS og bluetooth på mobiltelefon. Dette gøres ved at skabe to platforme på BornholmDen ene et rollespil, der udspilles på et afgrænset område på mobiltelefoner med GPS. Aktørerne spiller imod et audiovisuelt koncept, der ligger/hentes på telefonen. I den forbindelse skal der udvikles et spil, som spiller sammen med omgivelserne, så brugeren kan identificere sig med rollen og opleve via denne.Den anden er en platform, hvorfra man downloader turistinformation til sin egen mobiltelefon via en bluetooth-stander på Bornholmstrafikkens færge(r). Indholdet kan være almindelig turistinformation om seværdigheder, hoteller mv. men det kan også være f.eks. turguider eller byguider. Med denne teknologi får vi en platform, som kan udbygges med mange forskelligartede tilbud de kommende år.",Bornholm,15731796,Destination Bornholm ApS,Nordre Kystvej 3,3700,Rønne,Fonden Bornholms Middelaldercenter.,
Fjernarbejder hus i Tranum,06.08.2012,30.06.2015,ERDFN,Anvendelse af ny teknologi,830000,415000,"Formålet med pilotprojektet ""Fjernarbejderhus i Tranum"" er at etablere et fjernarbejderhus i Tranum, hvor der er skabt fysiske- og tekniske rammer for, at borgere i Region Nordjylland kan arbejde herfra, istedet for at pendle til deres normale arbejdssted som geografisk kan ligge uden for Region Nordjylland. Fjernarbejderhuset i Tranum vil være tilgængelig for alle interesserede. I fjernarbejderhuset vil brugerne have 1 Gb/s download og upload tilrådighed - hvorfor fjernarbejderhuset i Tranum måske vil have verdens hurtigste internetforbindelse til rådighed. I fjernarbejderhuset i Tranum vil brugerne have adgang til faciliteter som normalt vil være på et arbejdssted. Projektet vil også have fokus på at rekruttere brugere og virksomheder til huset.",Nordjylland,29189439,Jammerbugt Kommune,Toftevej 43,9440,Aabybro,Anmeldelse af Frivillig Foreningen Tranum Landsbyråd .,
Udenlandsk arbejdskraft - efteruddannelse og tiltrækning,11.06.2008,29.02.2012,ESFD,Udvikling af menneskelige ressourcer,"832026,7","416013,35","Formålet med projektet er at etablere grundlaget for et internationalt arbejdsmarked i regionen omfattende Jylland/Fyn og Schleswig Holstein. Projektet sigter mod praksisnære løsninger, dvs. udgangspunktet er virksomheder, der gennem ledelsesudvikling og konkrete udviklingsaktiviteter forbedrer deres kompetencer til inddragelse af international arbejdskraft. En særlig problemstilling i projektet knytter sig til danske virksomheder med datterselskaber i udlandet. Personalepolitik og uddannelse af disse medarbejdere er en central problemstilling i projektet. Et nyt EU direktiv vil betyde, at alle chauffører i fremtiden hvert 5. år skal gennemføre et obligatorisk efteruddannelsesforløb. Opfyldelsen af EU direktivet er en konkret anledning for virksomhederne til at udvikle deres HR funktion. Projektet tager afsæt i dette som ""løftestang"" for internationalisering af virksomhedernes HR strategier. I projektet vil der blive gennemført følgende aktiviteter: Etablering af netværk mellem virksomheder, videninstitutioner, uddannelsesinstitutioner og brancheorganisationer om rekruttering af udenlandsk arbejdskraft. Kortlægning af uddannelser og udbydere af uddannelse rettet mod transport- og logistikerhvervet i Danmark, Tyskland og Polen. Gennemførelse af udviklingsforløb i 8 - 9 danske transportvirksomheder med datterselskaber i udlandet. Gennemførelse af elevprojekter med tyske studerende i danske transport- og logistikvirksomheder. Udveksling af studerende og elever i faglige uddannelser mellem danske og tyske virksomheder. Udvikling af strategi for integration og dansk-tysk arbejdsmarked. Generalisering af projektets resultatet med henblik på bred formidling til danske og udenlandske transport- og logistikvirksomheder.",Syddanmark,35891013,EUC Syd,Grundtvigs Alle 88,6400,Sønderborg,Århus Købmandsskole. International Transport Danmark (ITD) F.M.B.A..,
Senior Styrken,12.11.2007,31.08.2009,ESFM,Udvikling af menneskelige ressourcer,"834918,51",400000,"På europæisk niveau og på nationalt niveau er der fokus på, at flere seniorer bliver længere tid på arbejdsmarkedet. Der er behov for at flere virksomheder, arbejdsmarkeds-aktører og civile aktører bidrager til at seniorer bliver længst muligt på jobbet og får afsæt til et godt og aktivt liv efter jobbet. Demonstrationsprojektet Senior drejer sig om, at udforme og afprøve et 5- dages senior-seminar, hvor 20 medarbejdere under 60 år får vejledning og personlig afklaring i forhold til hvor og hvordan deres seniorressourcer og seniorkompetencer skal anvendes i en 3. alder til gavn for dem selv for virksomheden og for civilsamfundet. Erfaringer fra demonstrationsprojektet formidles efterfølgende via publikation og PR-arrangementer til centrale arbejdsmarkedsaktører i Region Midt.",Midtjylland,55133018,Århus Kommune,Værkmestergade 15,8000,Århus C,LO Århus.,
¿Udkantsunge¿ og deres forhold til ungdomsuddannelserne. En sociokulturel undersøgelse.,06.07.2007,30.09.2009,ESFD,Udvikling af menneskelige ressourcer,"837906,5","418953,25","Det er den officielle danske målsætning, at størstedelen af de 16-19-årige skal kunne finde et attraktivtuddannelsesmæssigt ståsted i en ungdomsuddannelse. Imidlertid findes der stadig regionale yderområder, hvor tilgangen til ungdomsuddannelser ikke er på højde med landsgennemsnittet. Disse yderområder er regionale lokaliteter, der af forskellige kulturelle, geografiske og erhvervsmæssige grunde ligger i periferien af de økonomiske vækstcentre. I RegionSyddanmark drejer det sig om Faaborg - Midtfyn, Ærø, Langeland, Tønderområdet og muligvis også Nordfyn. Spørgsmålet er, hvad der er de dybereliggende årsager til, at unge i disse områder har andreuddannelsesmønstre og lavere uddannelsesfrekvens end landsgennemsnittet. (jf. Program for Den Europæiske Regionalfond i Danmark om ¿Innovation og Viden¿ s. 23 ff. og s. 36). Projektet sætter fokus på dette spørgsmål i en undersøgelse af udvalgte lokaliteter i de nævnte områder i Region Syddanmark med blik til yderområder i andre regioner. Desuden foreslås på baggrund af projektets empiriske resultater mulige indsatsområder, der kan fremme detoverordnede mål angående en højere uddannelsesfrekvens for de unge i yderområder. Som programmet for Den Europæiske Regionalfond viser, giver det basis for vækst på mange afledte felter, at en høj og helst voksende procentdel af unge får en kompetencegivende uddannelse. Det hedder således på s. 36: "" (¿) Det formelle uddannelsesniveau er steget i alle regioner igennem en årrække, men forskellene er blevet udvidet, idet uddannelsesløftet har været størst i de store byområder, som i forvejen har det højeste uddannelsesniveau. Det gælder især med hensyn til de lange videregående uddannelser. Samtidig er en betydelig del af arbejdsstyrken i alle regioner fortsat helt uden erhvervskompetencegivende uddannelse."" Projektet vil undersøge mulighederne for at udnytte yderområdernes menneskelige resurser bedre - specielt altså med hensyn til de unges uddannelsesvalg.",Syddanmark,29283958,Syddansk Universitet,Campusvej 55,5230,Odense M,Odense Katedralskole.,
Energibesparelser i privat bygningsmasse,18.12.2007,31.08.2010,ERDFD,Innovation og videndeling,"872566,3","436283,15","Energibesparelser i privat bygningsmasseProjektet, der i pressestrategisk øjemed forventes at blive kaldt ""Minenergiplan.nu"", skal danne ramme for etablering af organisation, hvor vidensdeling og konkrete tiltag på systematisk måde skal føre til energibesparelser (effektiv energiudnyttelse), reduktion i CO2 emmissioner og erhvervsudvikling med udgangspunkt i den private bygningsmasse (private husstande). Konkret gennemføres energibesparelser i privat bygningsmasse i et pilotprojektområde. Organisationen skal fokusere på projektevaluering og vidensudvikling mhp. senere storskalaforsøg. Især er ESCO (Energy Saveing Cooperation) koncept, evaluering og kontraktretlig projektsikring væsentlig at have for øje i pilotprojekt.GrundprincipDrivkraften, og grundprincippet, i virksomhedstypen kan forekomme ret simpel. Det kan betale sig at spare på energien. Det nye ved modellen er at projektorganiseringen tilbyder at være totalleverandør for en garanteret energibesparelse. I sin reneste form vil ESCO¿erne både finansiere de tiltag, der skal til for at realisere energibesparelsen, gennemføre løsningen mod at få andel i en del af besparelsen. Det er selvsagt at finansieringen også kan komme fra kundens selv, evt. ved at kunden låner dem af ESCO¿en. Under alle omstændigheder er det i sidste ende den konkrete energibesparelse, der i sidste ende skal hente investeringen hjem. Projektet arbejder i retning af udvikling af privat/offentlig ESCO, dog uden forventning om realisering af teoretisk idealmodel.Styrke og udstillingspotentialeProjektet vil udnytte syddanske styrkepositioner på energiområdet og vil kunne anvendes som demonstrationsprojekt i forbindelse med klimatopmøde i 2009.",Syddanmark,29189684,Middelfart Kommune,Østergade 21,5580,Nørre Aaby,Den Selvejende Institution TRE-FOR. Rockwool International A/S. Middelfart Sparekasse.,
