Name des Begünstigten,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens,Datum des Beginns des Vorhabens,Datum des Endes des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens,Unions-Kofinanzierungssatz pro Prioritätsachse,Durchführungsort des Vorhabens,Landkreis,Land,Bezeichnung der Interventionskategorie für das Vorhaben,Förderrichtlinie,Fördergegenstand
AEL Apparatebau GmbHLeisnig,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,07.09.2015,31.08.2016,5742,80,"Leisnig, Stadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
AFI Private Akademie fürInformatik GmbH,Alphabetisierungskurs für funktionale Analphabeten,"Die Teilnehmer im Projet sind funktionale Analphabeten des Landes Sachsen verschiedener Altersgruppen. Die Feststellung des Kenntnisstandes wird anhand des lea.Levels ermittelt in der Orientierungsphase am Kursbeginn ermittelt. Die Teilnehmer erwerben schriftsprachliche und grundbildende Kompetenzen. Wir planen den Kurs für 14 Personen, die in zwei Gruppen zu je 20 Wochenstunden qualifiziert werden. Integriert sind eine Grundbildung, Praxistage (in Werkstätten) und ein Praktikum in Unternehmen der Region. der Kurs wird in je einer homogenen Vor- und Nachmittagsgruppe unterrichtet. Wir praktizieren das Prinzip der Durchlässigkeit und Binnendifferenzierung. Ergebnisse vorheriger Projekte lassen wir in die Konzeption einfließen. Alle Teilnehmer erhalten ein Zertifikat und ein Arbeitszeugnis durch das Praktikaunternehmen. Primäres Ziel des Kurses ist die Verringerung des funktionalen Analphabetismus durch gezielte Schulung und Betreuung. Zur erfolgreichen Wissensadaption gehört e",16.10.2014,30.04.2016,"118908,05",80,"Delitzsch, Stadt",Nordsachsen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit","SMK-ESF-Richtlinie 2014-2020, Alphabetisierung",Alphabetisierung von fuktionalen Analphabeten
AFI Private Akademie fürInformatik GmbH,Alphabetisierungskurs für funktionale Analphabeten,"Die Teilnehmer im Projekt sind funktionale Analphabeten des Landes Sachsen verschiedener Altersgruppen. Die Feststellung des Kenntnisstandes wird anhand des lea.Levels in der Orientierungsphase zu Kursbeginn ermittelt. Die Teilnehmer erwerben schriftsprachliche und grundbildende Kompetenzen. Wir planen den Kurs für 14 Personen, die in zwei Gruppen zu je 20 Wochenstunden qualifiziert werden. Integriert sind eine Grundbildung, Praxistage und ein Praktikum im Unternehmen der Region. Der Kurs wird in einer homogenen Lerngruppe jeweils am Vor- und Nachmittag unterrichtet. Wir praktizieren das Prinzip der Durchlässigkeit und Binnendifferenzierung. Ergebnisse vorheriger Projekte lassen wir in die Konzeption einfließen. Alle Teilnehmer erhalten ein Zertifikat und ein Arbeitszeugnis von den Praktikaunternehmen. Primäres Ziel des Kurses ist die Verringerung des funktionalen Analphabetismus durch gezielte Schulung und Betreuung.",16.10.2014,30.04.2016,"102736,35",80,"Eilenburg, Stadt",Nordsachsen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit","SMK-ESF-Richtlinie 2014-2020, Alphabetisierung",Alphabetisierung von fuktionalen Analphabeten
AFI Private Akademie fürInformatik GmbH,Alphabetisierungskurs für funktionale Analphabeten,"Die Teilnehmer des Projektes sind funktionale Analphabeten des Landes Sachsen verschiedener Altersgruppen. Die Feststellung des Kenntnisstandes wird anhand des lea.Levels in der Orientierungsphase zu Kursbeginn ermittelt. Die Teilnehmer erwerben schriftsprachliche und grundbildende Kompetenzen. Wir planen den Kurs für 7 Personen, die in einer Gruppe zu 30 Wochenstunden unterrichtet werden. Integriert sind eine Grundbildung, Praxistage und ein Praktikum in einem Unternehmen der Region. Der Kurs wir nach dem Prinzip der Binnendifferenzirung unterrichtet und somit auf die unterschiedlichen Wissensstände eingegangen. Ergebnisse vorangegangener Kurse lassen wir in die Konzeption einfließen. Alle Teilnehmer erhalten ein Zertifikat und ein Arbeitszeugnis von den Praktikaunternehmen. Primäres Ziel des Kurses ist die Verringerung des funktionalen Analphabetismus durch gezielte Schulung und Betreuung. Zur erfolgreichen Wissensadaption gehört ebenso der Abbau von Lernhemmungen, welche wir uns al",03.11.2014,30.06.2016,"85362,02",80,"Eilenburg, Stadt",Nordsachsen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit","SMK-ESF-Richtlinie 2014-2020, Alphabetisierung",Alphabetisierung von fuktionalen Analphabeten
AFI Private Akademie fürInformatik GmbH,Individuelle Begleitung von Jugendlichen und jungen Erwachsenen im Rahmen der Ausbildung sowie Unterstützung der Ausbildungsunternehmen,"Der erfolgreiche Abschluss einer Berufsausbildung bietet jungen Menschen einen guten Start in das Leben als Erwerbstätiger. An diesem Schnittpunkt setzt das Projekt „Vorrang duale Ausbildung“ an und betreut die Jugendlichen im Rahmen einer vorbereitenden Phase, sowie die Unternehmen und Jugendlichen während der Aus-bildung. Dabei gehen die Leistungen, die wir anbieten, über die der ausbildungsbegleitenden Hilfen hinaus. . Wir setzen uns das Ziel 14 Jugendliche und junge ausbildungsreife Erwachsene mit Vermittlungshemmnissen und/oder individuellen Problemlagen auf eine betriebliche Ausbildung vorzubereiten, in diese zu vermitteln und assistiert zu begleiten. Parallel zu der Teilnehmerbetreuung, werden die ausbildenden Unternehmen mit dem Ziel der Abbruchvermeidung aktiv unterstützt. Unsere Zielgruppe sind zum einen ausbildungsreife Jugendliche und junge Erwachsene, die ihre Berufsschulpflicht erfüllt haben und aufgrund ihrer Vermittlungshemmnisse und/oder individuellen Problemlagen noch nicht in ein Berufsausbildungsverhältnis vermittelt wurden. Zum anderen helfen wir Auszubildenden, die Schwierigkeiten während der Ausbildung haben oder deren Berufsabschluss sogar gefährdet ist. Vermittlungshemmnisse bzw. individuellen Probleme sind z. B.: Unklare Berufsvorstellungen, bisherige erfolglose Bewerbungen, falsche Berufswahl und schon abge-brochene Ausbildungen, Lange Krankheitsphasen... Neben den Bewerbern sind auch die Ausbildungsunternehmen Zielgruppe des Projektes.",30.09.2015,15.10.2020,"447738,12",80,"Delitzsch, Stadt",Nordsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Vorrang für duale Ausbildung für Jugendliche mit Startschwierigkeiten,Vorrang für duale Ausbildung
AFI Private Akademie fürInformatik GmbH,PLAN FOR JOB -ein Projekt im Rahmen der Jobperspektive Sachsen (L)-,"Das Projekt richtet sich an 12 schwer vermittelbare langzeitarbeitslose Männer und Frauen aus Delitzsch und Umgebung. Im Rahmen von Projekten soll die Beschäftigungsfähigkeit unserer Kunden durch Qualifizierung, Betreuung und die fachpraktische Tätigkeit in den Projekten (Generationentreff, Bunte Werkstätten, Anbau nach ökologischen Aspekten) nachhaltig verbessert werden. Als wichtiger Bausteine werden auch Gruppenbildungselemente zur Hesrstellung von Netzwereken und Aufbau einer Lebensperspektive realisiert. Neben den Projekten werden Profilingelementen, Elementen der Lebensorientierung und Praktika in Unternehmen wesentlicher Bestadnteil der Maßnahme sein. Das Projekt ist niedrigschwellig und wird sozialpädagogisch und bei Bedarf auch psychologisch betreut. Ziel ist neben der Verbesserung der Beschäftigungsfähigkeit eine Vermittlung in Beschäftigung von 70%. Das Projekt wird durch das Jobcenter Nordsachsen unterstützt, es existiert eine gemeinsame Zielvereinbarung.",27.02.2015,30.07.2016,"134296,86",80,"Delitzsch, Stadt",Nordsachsen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",JobPerspektive Sachsen,Verbesserung der Beschäftigungsfähigkeit von Langzeitarbeitslosen
A-Form AG,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.02.2015,31.07.2015,2068,80,Mildenau,Erzgebirgskreis,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
A-Form AG,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,24.08.2015,05.08.2016,5500,80,Mildenau,Erzgebirgskreis,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
AGL Maschinenbau GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.09.2015,31.08.2016,5500,80,"Lengenfeld, Stadt",Vogtlandkreis,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
AGL Maschinenbau GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.02.2015,31.08.2015,1254,80,"Lengenfeld, Stadt",Vogtlandkreis,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
Agrar GmbH Gersdorf-Oberlichtenau,Erwerb der Führerscheinklasse T,Erwerb der Führerscheinklasse T,09.11.2015,30.10.2016,"2806,85",80,Haselbachtal,Bautzen,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Agrar GmbH Gersdorf-Oberlichtenau,"Windows 8.1, MS Office 2013, Cloud Computing","Windows 8.1, MS Office 2013, Cloud Computing",24.09.2015,27.12.2015,1860,80,Haselbachtal,Bautzen,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Agrarbetrieb SchlegelDittelsdorf GbR,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.09.2015,31.07.2016,220,80,"Zittau, Stadt",Görlitz,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
Agrarbetrieb SchlegelDittelsdorf GbR,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.02.2015,20.08.2015,308,80,"Zittau, Stadt",Görlitz,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
AgrarbetriebsgemeinschaftKiesdorf-Dittersbach GbR,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.09.2015,31.08.2016,198,80,Schönau-Berzdorf a. d. Eigen,Görlitz,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
Agrargenossenschaft e.G.Bertsdorf/Olbersdorf,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.02.2015,20.08.2015,572,80,Olbersdorf,Görlitz,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
Agrargenossenschaft e.G.Bertsdorf/Olbersdorf,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.09.2015,31.08.2016,1078,80,Olbersdorf,Görlitz,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
Agrargenossenschaft e.G.Bertsdorf/Olbersdorf,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,11.01.2016,31.08.2016,66,80,Olbersdorf,Görlitz,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
