Name,Bezeichnung des Vorhabens,"Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbetrag der förderfähigen Ausgaben des Vorhabens in €","Unions-Kofinanzierungssatz","Kofinanzierung aus anderen öffentlichen Mitteln",PLZ,Land,Interventionsbereich,"Finanzierungsform",Art des Gebietes,"Territoriale Umsetzungsmechanismen","Sekundäres ESF-Thema"
bfz gGmbH,Vorbereitung Plan B / München / 01.07.2015,"Bei den Teilnehmern dieser Zielgruppe, die seit mindestens zwei Jahren arbeitslos sind, stehen in diesem Projekt zunächst Handlungsansätze und -strategien im Vordergrund , die darauf ausgerichtet sind, die Employability zu verbessern, individuelle Vermittlungshemmnisse zu erkennen und abzubauen sowie die im Alltag und im sozialen Zusammen­leben erforderlichen Kompetenzen zu vermitteln. ",01.07.2015,28.02.2017,"448.083,67",47%,47%,80339,Bayern/DE,109,1,1,7,1
bfz gGmbH,Fit für Leben und Arbeit / Forchheim / 27.07.2015,"Kernelement unserer Aktivierungsstrategie sind die Projektarbeit und ein intensives sozialpädagogisches Coaching. Die Teilnehmer werden durch die verschiedenen, praktischen und sehr lebensraumnah orientierten Projekte praxisnah an verschiedene Berufsfelder herangeführt und aktiv dazu gebracht, ihre Fähigkeiten zu erweitern bzw. aufzufrischen und zu reflektieren. ",27.07.2015,26.07.2017,"105.985,26",50%,38%,91301,Bayern/DE,109,1,2,7,2
Handwerkskammer für Mittelfranken,ÜLU Fachstufe 2015,"Handwerksbetriebe sind aus Kosten- und Kapazitätsgründen grundsätzlich nicht in der Lage eigene Lehrwerkstätten zu unterhalten. Eine zusätzliche überbetriebliche Unterweisung der Lehrlinge ist jedoch notwendig, um eine Anpassung an die technische Entwicklung und eine Harmonisierung der Ausbildung gewährleisten zu können.",01.01.2015,31.12.2015,"2.734.174,00",14%,66%,,Bayern/DE,106,1,7,1,1
Handwerkskammer für München und Oberbayern,Ülu-Fachstufe 2015 ESF,Maßnahmen der überbetrieblichen beruflichen Bildung (Unterweisung von Auszubildenden) zur Anpassung an die technische und ökonomische Entwicklung.,01.01.2015,31.12.2015,"6.480.000,00",14%,66%,,Bayern/DE,106,1,7,1,1
Handwerkskammer für Oberfranken,ÜLU Fachstufe 2015,"Vervollständigung und Ergänzung der betrieblichen Ausbildung und
Anpassung an die technischen und wirtschaftlichen Veränderungen",01.01.2015,31.12.2015,"1.500.000,00",14%,66%,,Bayern/DE,106,1,7,1,1
Handwerkskammer Niederbayern-Oberpfalz,ÜLU der HWK NB./OPf. im 2. bis 4. Ausbildungsjahr (Fachstufe) im Jahr 2015 ,Durchführung der überbetrieblichen Lehrlingsunterweisung,01.01.2015,31.12.2015,"4.186.108,00",14%,67%,,Bayern/DE,106,1,7,1,1
Handwerkskammer Niederbayern-Oberpfalz,Überbetriebliche Lehrlingsunterweisung ,Durchführung der überbetriebilchen Lehrlingsunterweisung im 2. bis 4. Ausbildungsjahr (Fachstufe) für das Haushaltsjahr 2016,01.01.2016,31.12.2016,"4.308.348,00",14%,67%,,Bayern/DE,106,1,7,7,3
Handwerkskammer für Schwaben,Überbetriebliche Lehrlingsunterweisung Fachstufe 2015,Zur qualitativen Verbesserung der betrieblichen Ausbildung führt das Handwerk überbetriebliche Lehrgänge durch.,01.01.2015,31.12.2015,"3.115.351,00",14%,67%,,Bayern/DE,106,1,7,7,1
Handwerkskammer für Unterfranken,Überbetriebliche Lehrlingsunterweisung (ÜLU) im 2. - 4. AJ (Fachstufe) 2015,"Das Projekt hat die Aufgabe, die betriebliche Ausbildung zu vervollständigen und zu ergänzen und diese den jeweiligen technischen und wirtschaftlichen Veränderungen anzupassen.",01.01.2015,31.12.2015,"2.943.972,00",12%,60%,,Bayern/DE,106,1,7,1,1
BIHK Service GmbH,Existenzgründercoaching 2015,Förderung der Betreuung von Existenzgründern und Betriebsübernehmern vor der Gründung/Übernahme durch Coaching,01.04.2015,31.03.2016,"3.600.000,00",50%,20%,80333,Bayern/DE,104,1,1,1,1
BIHK Service GmbH,Existenzgründercoaching 2016,"Förderung der Betreuung von Existenzgründern und Betriebsübernehmern vor der Gründung/Übernahme durch Coaching.",01.04.2016,31.03.2017,"1.500.000,00",50%,20%,80333,Bayern/DE,104,1,1,7,1
