"ProjektCode / 
code of operation",Name des Begünstigten / name of beneficiary,Bezeichnung des Vorhabens / operation name,Zusammenfassung des Vorhabens / operation summary,Datum des Beginns des Vorhabens / operation start date,Datum des Endes des Vorhabens/ operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens / total eligible expenditure allocated to the operation,"Unions-Kofinanzierungssatz pro Prioritätsachse / Union co-financing rate, as per priority axis",Regionalcode des Vorhabens / location indicator,Land / country,Bezeichnung der Interventionskategorie für das Vorhaben / name of category of intervention for the operation
2CAEAA_00178,"Verein für Training, Integration und Weiterbildung",Verein TIW BAS,"Das Projekt TIW BAS ist eine Berufsausbildungsassistenz für Lehrlinge, die eine Ausbildung nach §8b BAG absolvieren und begleitet die Lehrlinge während der Lehrausbildung. ",01.01.2017,31.12.2017,"397984,29","50,00 %","90501 - Wien,  5. Margareten",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00115,HAK III / HAS IV Vienna Business School der Wiener Kaufmannschaft Wien-8,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Dieses Projekt dient der Verringerung der Drop-out-Quote in der 9. Schulstufe,05.09.2016,31.08.2017,92400,"50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABHA_00019,pro mente steiermark GmbH,ENTRY - Einstieg durch niederschwellige Beschäftigung,"Mit diesem Netzwerkprojekt werden stundenweise Transitarbeitsplätze für Bezieherinnen der Bedarfsorientierten Mindestsicherung, sowie für weitere besonders arbeitsmarktferne Zielgruppen bei pro mente Steiermark geschaffen.",01.04.2016,31.12.2016,"86639,64","50,00 %",220 - STEIERMARK (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BAACA_00003,Berufsförderungsinstitut Niederösterreich,Integration in Niederösterreich (Berufsförderungsinstitut Niederösterreich),"Das Projekt „Integration in Niederösterreich“, welches von Caritas Wien, Caritas St.Pölten, WIFI
NÖ und BFI NÖ durchgeführt wird, umfasst sowohl begleitende und sozialpädagogische
Beratungen, als auch umfassende Spracherwerbsmaßnahmen.",01.06.2016,31.05.2017,"499995,16","50,00 %",120 - NIEDERÖSTERREICH (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00205,CARITAS DER DIÖZESE ST.PÖLTEN,Jugendcoaching Waldviertel,"Korrektur Sozialministeriumservice vom 28.12.2015:
Maßnahmenart: Jugendcoaching
Ort der Leistungserbringung: Waldviertel
Zielgruppen: ausgrenzungsgefährdete Jugendliche",01.01.2016,31.12.2016,"639477,86","50,00 %",30201 - Sankt Pölten,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00134,Bundeshandelsakademie und Bundeshandelsschule Wien 10,S-1.4b Übergangsstufe im Bereich des kaufmännischen Schulwesens,Dieses Projekt dient zur Verringerung und Verhütung des vorzeitigen Schulabbruchs. ,13.02.2017,31.08.2017,"59158,66","50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00151,PRO MENTE: KINDER JUGEND FAMILIE GMBH,Produktionsschule Impuls Ost,Führen einer Produktionsschule mit individueller Begleitung für Jugendliche und junge Erwachsene in Wolfsberg und Völkermarkt,01.01.2016,31.12.2016,"337631,26","50,00 %",20101 - Klagenfurt,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00252,TRANSJOB - Verein für Wirtschafts- und Beschäftigungsinitiativen,Produktionsschule Mostviertel,"Produktionsschule Mostviertel 3300 Weitenfeldstr.35, Anzengruberstr. 3, 3382 Europapl. 10, 3250 Kirchenpl. 5, Jugendl. mit Behinderung, Benachteiligungen, Migrationshintergr., bis 24LJ. am Übergang Schule-Beruf bzw. außerschulische Jugendl.",01.01.2017,31.12.2017,"976092,09","50,00 %",30502 - Amstetten,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00260,JUGEND AM WERK STEIERMARK GMBH,Produktionsschule  R4 Mürzzuschlag,Projekt lt. Konzept inkl. Umsetzungsregelung (2014) im Raum Mürzzuschlag / Bruck,01.01.2017,31.12.2017,"228220,13","50,00 %",60101 - Graz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00225,SAUM-SOZIAL- UND AUSBILDUNGS- INITIATIVE UNTERES MÜHLVIERTEL,Produktionsschule Arbeitsraum,"Produktionsschule für Jugendliche und junge Erwachsene. Inhalte: Coaching, Wissenswerkstatt, Aktivierung, Übung, Spezialisierung, Sport.",01.01.2016,31.12.2016,340000,"50,00 %",41109 - Langenstein,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00239,GESELLSCHAFT FÜR ARBEIT UND BILDUNG DER CHANCE B GMBH,Jugendcoaching,Jugendcoaching ist ein Unterstützungsangebot für Jugendliche am Ende ihrer Schulpflicht bzw. nach dem Schulaustritt. ,01.01.2016,31.12.2016,"543745,72","50,00 %",61760 - Gleisdorf,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00249,Lebenshilfe Ennstal,Jugendcoaching,Unterstützung bei der beruflichen Perspektivenentwicklung für ausgrenzungsgefährdeten Jugendlichen zwischen 14 und 19 Jahren (24 Jahre - SPF),01.01.2017,31.12.2017,"166688,63","50,00 %",61259 - Liezen,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00140,HTBLA Wels,"Übergangsstufe im Bereich des technisch, gewerblichen und kunstgewerblichen Schulwesens","Die Übergangsstufe soll Schüler/innen, die nach Aufnahme in eine erste Klasse / einen ersten Jahrgang der HTL bzw. Fachschule, diese voraussichtlich nicht positiv abschließen werden, auffangen und ihnen die notwendigen Grundkenntnisse vermitteln.",27.02.2017,31.08.2017,"51543,42","50,00 %",312 - Linz-Wels (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00097,Bundeshandelsakademie und -handelsschule I Salzburg,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Die verbindliche Übung KOEL im Gesamtausmaß von fünf Stunden dient der Lernerfolgsverbesserung und der besonderen Förderung der Schülerinnen und Schüler in allen Unterrichtsgegenständen.,12.09.2016,31.08.2017,88550,"50,00 %",323 - Salzburg-Umgebung (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00166,EINSTIEG - Einstieg ins Berufsleben GmbH,Produktionsschule Einstieg (Salzburg Pinzgau),"NEBA Produktionsschule Einstieg in Salzburg Stadt/Umgebung und Pinzgau 
Erlangung der individuellen Ausbildungsreife ausgrenzungsgefährdeter Jugendliche von 15 – 21 Jahre (bzw. 24 Jahre) durch Erwerb von Basisqualifikationen und Social Skills.
",01.01.2017,31.12.2017,"564285,47","50,00 %",50101 - Salzburg,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00094,BHAK/BHAS Traun,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Durchführung einer ganzjährigen Verbindlichen Übung ""Kompetenzorientiertes, eigenverantwortliches Lernen (KOEL)"" im SJ 2016/2017 an der HAK/HAS Traun",12.09.2016,31.08.2017,115500,"50,00 %",312 - Linz-Wels (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00142,HBLVA Wien-5,"Übergangsstufe im Bereich des technisch, gewerblichen und kunstgewerblichen Schulwesens","Übergangsstufe im Bereich des technisch, gewerblichen und kunstgewerblichen Schulwesens",05.12.2016,31.08.2017,"76838,96","50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00211,AUTARK SOZIALE DIENSTLEISTUNGS-GMBH,Jugendcoaching Außerschulische,Jugendcoaching für außerschulische Jugendliche (Schwerpunkt NEETs) setzt sich zum Ziel systemferne Jugendliche wieder an geeignete Ausbildungs- und/oder Qualifizierungsmaßnahmen heranzuführen.,01.01.2016,31.12.2016,"447320,45","50,00 %",20101 - Klagenfurt,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00250,Lebenshilfe Ennstal,Berufsausbildungsassistenz,"Benachteiligte Jugendliche sollen Unterstützung bei ihrer beruflichen Erstausbildung innerhalb des in § 8ab BAG verankerten 
Berufsausbildungssystems erhalten. ",01.01.2017,31.12.2017,"295548,16","50,00 %",61259 - Liezen,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BADBA_00065,Die Wiener Volkshochschulen GmbH,Start Wien - Das Jugendcollege,"Die Projektinhalte des Jugendcolleges sind ein Deutschkursangebot, Basisbildung und Spezialmodule sowie eine  Bildungs- und Berufsberatung. Gender und Diversity sind ebenso wie Inklusionspädagogik eine Querschnittsmaterie im Trainingsbereich. ",27.06.2016,26.06.2017,"1681857,95","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00182,PRO MENTE SALZBURG Gemeinnützige Gesellschaft für Arbeitsrehabilitation m.b.H.,Produktionsschule Jumber,"15 Jgdl. bis zum 24.LJ, die bei Eintritt mit der Absolvierung einer BA aufgrund von Defiziten im Bereich der Kulturtechniken und soz. Komp. überfordert sind. Ort: Rainerstr.27,5020 SBG sowie in der CDK-Gärtnerei Ignaz Harrer Str. 79 5020 SBG",01.01.2017,31.12.2017,"210911,8","50,00 %",50101 - Salzburg,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00131,BHAK/BHAS Schwaz,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",KOEL mit dem Ziel Senkung der Dropout-Raten in der HAK und HAS,12.09.2016,31.08.2017,96381,"50,00 %",335 - Tiroler Unterland (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00204,Berufliches Bildungs- und Rehabilitationszentrum Österreich (BBRZ Ö),Jugendcoaching,"(Re-)Integration in den Arbeitsmarkt für Jugendliche bis 19 am Übergang Schule-Beruf für junge Erw., außerschul. Jgdl. unter 19, Jgdl. mit Migrationshintergrund, sowie für Jgdl. mit sonderpäd. Förderbedarf bzw. Behinderung bis zum Alter von 24",01.01.2016,31.12.2016,"354548,92","50,00 %",40101 - Linz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00229,BIKU-Treff,Produktionsschule BIKU-Treff ,Produktionsschule BIKU-Treff bietet für Jugendliche und junge Erwachsene mit vorwiegend psychischen Erkrankungen Coaching und Training im Einzel- und sozialtherapeutischen Gruppensetting. Ziel: individuelle Ausbildungsreife.,01.01.2016,31.12.2016,"641489,65","50,00 %","91701 - Wien, 17. Hernals",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BADFA_00006,ibis acam Bildungs GmbH,Heranführung an die Lehrausbildung von unbegleiteten minderjährigen Flüchtlingen,Vorbereitung unbegleiteter minderjähriger Flüchtlinge (umF) auf die Lehrausbildung (v.a. sprachlich & schulisch). Wöchentliche Anwesenheit: mindestens 30 Std. Dauer der Projektteilnahme: max. 12 Monate (Verlängerung um max. 6 Monate möglich).,01.06.2016,31.07.2018,"716602,19","50,00 %",330 - TIROL (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00180,SAUM-SOZIAL- UND AUSBILDUNGS- INITIATIVE UNTERES MÜHLVIERTEL,Produktionsschule Arbeitsraum,"Produktionsschule für Jugendliche und junge Erwachsene. Nachreifungsprojekt mit folgenden Inhalten: Coaching, Wissenswerkstatt, Aktivierung, Übung, Spezialisierung, Sport.",01.01.2017,31.12.2017,380000,"50,00 %",41109 - Langenstein,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00154,VEREIN ZUR FÖRDERUNG VON ARBEIT UND BESCHÄFTIGUNG (FAB),"Produktionsschule West ""steig.ein""","NEBA Leistung an den Standorten Feldkirchen und Spittal/Drau mit insgesamt 26 Jugendlichen; Zielgruppe sind Jugendliche und junge Erwachsene mit besonderen Bedürfnissen, die optimal auf den nächsten Ausbildungsschritt vorbereitet werden.",01.01.2016,31.12.2016,"426693,48","50,00 %",40101 - Linz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00125,BHAK/BHAS St. Pölten,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Verringerung und Verhütung des vorzeitigen Schulabbruchs und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarausbildung,05.09.2016,31.08.2017,"100236,24","50,00 %",123 - Sankt Pölten (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00244,PSN PSYCHOSOZIALES NETZWERK GEMEINNÜTZIGE GMBH,Jugendcoaching,Jugendcoaching ist ein Angebot für Jugendliche zwischen dem 9. Schul- und dem 25. Lebensjahr im Raum Murtal und Murau. Es soll eine höchstmögliche Ausbildung erzielen und Bildungsabbrüche verhindern.,01.01.2017,31.12.2017,"313003,78","50,00 %",62040 - Judenburg,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00085,Bundeshandelsakademie und Bundeshandelsschule I Klagenfurt,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Verringerung und Verhütung des vorzeitigen Schulabbruchs bzw Förderung des gleichen Zugangs zu einer hochwertigen Erziehung und Sekundarausbildung.,05.09.2016,31.08.2017,215600,"50,00 %",211 - Klagenfurt-Villach (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAFIA_00117,Die Kärntner Volkshochschulen,Kick up - One Stop für berufliche Stabilität,"Ziele des Projekts sind die Erhebung der Lebenssituationen von „Working Poor“ in ausgewählten Regionen, Entwicklung passgenauer Angebote im Rahmen eines ganzheitlichen Case Managements und damit Verbesserung der Situation der Betroffenen. ",02.01.2017,31.12.2017,"163077,03","50,00 %",210 - KÄRNTEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00185,in.come Verein zur Integration von Menschen mit Benachteiligung,Verein in.come Jugendcoaching,"Jugendcoaching ist ein freiwilliges Angebot für Jugendliche am Ende der Schulpflicht, um bei Bedarf den bestmöglichen Weg für einen weiteren Schulbesuch, eine berufliche Qualifizierung oder eine Integration in den Arbeitsmarkt sicherzustellen. ",01.01.2017,31.12.2017,"1452536,95","50,00 %","91201 - Wien, 12. Meidling",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00187,AUTARK SOZIALE DIENSTLEISTUNGS-GMBH,Berufsausbildungsassistenz,Das Angebot unterstützt Jugendliche mit Behinderungen bzw. Vermittlungshemmnissen bei der Ausbildung im Rahmen einer verlängerten Lehre oder Teilqualifikation.Sie begleitet sowohl im Betrieb als auch in der Berufsschule und sichert die Ausbildung ab.,01.01.2017,31.12.2017,"1595328,94","50,00 %",20101 - Klagenfurt,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABHA_00007,"Steirische Wissenschafts-, Umwelt- und Kulturprojektträger GmbH",ENTRY - Einstieg durch niederschwellige Beschäftigung,"Mit diesem Netzwerkprojekt werden zusätzliche stundenweise Transitarbeitsplätze für BezieherInnen der Bedarfsorientierten Mindestsicherung sowie für weitere besonders arbeitsmarktferne 
Zielgruppen beim Beschäftigungsträger St:WUK geschaffen.",01.04.2016,31.12.2016,"175095,49","50,00 %",225 - West- und Südsteiermark (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BABHA_00018,ERfA - Erfahrung für Alle; Verein für gemeinnützige Beschäftigung,ENTRY - Einstieg durch niederschwellige Beschäftigung,"Mit diesem Netzwerkprojekt werden zusätzliche stundenweise Transitarbeitsplätze für BezieherInnen der Bedarfsorientierten Mindestsicherung, sowie für weitere besonders arbeitsmarktferne Zielgruppen beim Beschäftigungsträger ERfA geschaffen.",01.04.2016,31.12.2016,"80012,78","50,00 %",221 - Graz (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BABIA_00026,Perspektive Handel Caritas gGmbH,Perspektive Handel,"Durch den SPAR-Caritas SÖB werden befristete, niederschwellige, zielgruppenorientierte Arbeitsplätze zur Fachausbildung im Handel geschaffen. Ziel ist die Qualifizierung der TeilnehmerInnen und die anschließende Vermittlung in den Arbeitsmarkt.",01.07.2016,30.06.2017,"613544,33","50,00 %",211 - Klagenfurt-Villach (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00096,BHAK/BHAS 2 Wels,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Durchführung einer ganzjährigen standortbezogenen verbindlichen Übung ""KOEL"" im Schuljahr 2016/17 in der Handelsschule. ",12.09.2016,31.08.2017,38500,"50,00 %",312 - Linz-Wels (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BADBA_00035,Verein Sprungbrett - Mädchenberatung Mädchenbildung Mädchenforschung,Mädchen - Berufs - Zentrum,BBE mit mädchenspezifischer Betreuungsarbeit sowie Information für Mädchen und junge Frauen.,01.07.2015,30.06.2016,700000,"50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00138,HTBLVA Innsbruck-Anichstraße," S-1.4a ""Übergangsstufe im Bereich des technisch, gewerblichen und kunstgewerblichen Schulwesens""","Die Übergangsklasse hilft SchülerInnen, allfällige schulische Defizite auszugleichen. Dadurch wird die Abbrecherquote verringert sowie die Chance auf einen positiven Schulbesuch erhöht.",05.12.2016,31.08.2017,"79407,71","50,00 %",332 - Innsbruck (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00175,Wien Work-integrative Betriebe und AusbildungsgmbH,Wien Work Jugendcoaching,"Wien Work Jugendcoaching ist ein regionales Beratungs-, Begleitungs- und Betreuungs-Angebot für Jugendliche in den Wiener Bezirken 21 und 22. ",01.01.2017,31.12.2017,"1456644,8","50,00 %","92201 - Wien, 22. Donaustadt",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAABA_00047,BEST Institut für berufsbezogene Weiterbildung und Personaltraining GmbH,BBE Deutsch 2015,Die BBE Deutsch bietet sozialpädagogische Beratung und Betreuung sowie Lernunterstützung und Prüfvorbereitung. Durch Beratung und Lernunterstützung sollen Lern- und Vermittlungshindernisse abgebaut werden.,01.07.2015,30.06.2016,"320634,16","50,00 %",131 - Wien (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
